population_size,evaluation_budget,algorithm,runs,mean_best_score,median_best_score,sd_best_score,mean_paired_rank,median_runtime_s,mean_runtime_s
10,300,BDA-EHHO-VC-Calibrated,72,4.973760470499865,4.8861236063536815,0.4625896317506847,2.486111111111111,2.894170200015651,5.190271751386819
10,300,BEHHO-VC-Calibrated,72,4.973509818333341,4.885713982720989,0.46278584073474893,2.2916666666666665,7.02128129999619,10.162090820836763
10,300,EHHO-VC,72,4.973823340487488,4.886695726611605,0.46261242669949926,2.4375,2.2594194499833975,4.376303841666312
10,300,HHO-VC,72,4.973850836980537,4.886711681020461,0.4626481866560089,2.7847222222222223,5.647972050006501,7.843845197223548
10,600,BDA-EHHO-VC-Calibrated,72,4.973435122332023,4.885611253426768,0.4627379515606207,2.3472222222222223,0.7435235499870032,5.510296566664895
10,600,BEHHO-VC-Calibrated,72,4.973333590852134,4.885771572764336,0.46274234302255735,2.236111111111111,1.9788836499792524,6.624895640277827
10,600,EHHO-VC,72,4.973619433071918,4.886622873087556,0.462724853496897,2.638888888888889,0.40450000000419095,5.369228531940381
10,600,HHO-VC,72,4.973705333554684,4.886632307363761,0.46265864339627255,2.7777777777777777,0.6455157500167843,6.174829445833489
20,300,BDA-EHHO-VC-Calibrated,72,4.973697892659528,4.886003680049483,0.4626670073596554,2.5833333333333335,0.15952229997492395,2.3530860666699787
20,300,BEHHO-VC-Calibrated,72,4.973527729406734,4.885600566082375,0.4627812693959233,2.3194444444444446,0.27934209996601567,3.0499089625001137
20,300,EHHO-VC,72,4.973631652232617,4.886693800625469,0.46274633235934526,2.423611111111111,0.041105950018391,2.582538927779145
20,300,HHO-VC,72,4.973702630106886,4.886700458775085,0.4627922504092268,2.673611111111111,0.09124194999458266,2.574444166665166
20,600,BDA-EHHO-VC-Calibrated,72,4.9733548909084515,4.8857745284801215,0.462787996500714,2.3055555555555554,0.10415800000191665,4.523795199997646
20,600,BEHHO-VC-Calibrated,72,4.973392267203057,4.8859396039117735,0.46273551040140193,2.5694444444444446,0.17475299999932756,4.671152863890004
20,600,EHHO-VC,72,4.973529021183169,4.886622361271691,0.4628139895396915,2.5694444444444446,0.03591560001950705,4.307210693055014
20,600,HHO-VC,72,4.973500540452594,4.886673281892387,0.4628203030563197,2.5555555555555554,0.0463025500066578,4.139680791668877
30,300,BDA-EHHO-VC-Calibrated,72,4.973560107824688,4.885691924354923,0.46270856121759985,2.4583333333333335,0.03013995001674625,2.4539531791694267
30,300,BEHHO-VC-Calibrated,72,4.973525736626722,4.885785526143656,0.4626738046394271,2.3472222222222223,0.04945579997729505,2.272582458336223
30,300,EHHO-VC,72,4.973618963970164,4.886333444155259,0.4626550160034562,2.5694444444444446,0.015846549998968798,1.8193338624987518
30,300,HHO-VC,72,4.9736558544100316,4.88616582074272,0.4626301411959284,2.625,0.0147737500083167,2.1115450930535897
30,600,BDA-EHHO-VC-Calibrated,72,4.97340578903092,4.885793656375252,0.4627527573659639,2.5902777777777777,0.066188350028824,4.173012437499387
30,600,BEHHO-VC-Calibrated,72,4.973348480734669,4.885756230915319,0.4626970403798504,2.548611111111111,0.07042375000310125,4.381788320834555
30,600,EHHO-VC,72,4.973367239452916,4.886162413373846,0.4627294256262735,2.2916666666666665,0.028929500025697,4.421381502780908
30,600,HHO-VC,72,4.973464175360218,4.886129404595022,0.4627203201111731,2.5694444444444446,0.02542219994938925,4.58585834166297
