population_size,evaluation_budget,algorithm,runs,mean_evaluations,max_evaluations,budget_compliance_rate
10,200,BDA-EHHO-VC,24,200.0,200,100.0
10,200,BEHHO-VC,24,200.0,200,100.0
10,200,EHHO-VC,24,200.0,200,100.0
10,200,HHO-VC,24,200.0,200,100.0
10,400,BDA-EHHO-VC,24,400.0,400,100.0
10,400,BEHHO-VC,24,400.0,400,100.0
10,400,EHHO-VC,24,400.0,400,100.0
10,400,HHO-VC,24,400.0,400,100.0
20,200,BDA-EHHO-VC,24,200.0,200,100.0
20,200,BEHHO-VC,24,200.0,200,100.0
20,200,EHHO-VC,24,200.0,200,100.0
20,200,HHO-VC,24,200.0,200,100.0
20,400,BDA-EHHO-VC,24,400.0,400,100.0
20,400,BEHHO-VC,24,400.0,400,100.0
20,400,EHHO-VC,24,400.0,400,100.0
20,400,HHO-VC,24,400.0,400,100.0
