run_key,experiment_id,filename,run_index,algorithm,population_size,evaluation_budget,master_seed,best_score,level_R,level_G,level_B,evaluations,budget_compliant,runtime_s,iterations_completed,convergence_points,final_convergence_value,diversity_mean,diversity_final,injection_count,bda_proposals,ehho_proposals,bda_fraction
IMG_0005|r1|n20|b400|HHO-VC,IMG_0005,105025.jpg,1,HHO-VC,20,400,987927628,4.614739288874254,2,2,6,400,True,19.409940399986226,11,11,4.614739288874254,nan,nan,0,0,0,nan
IMG_0005|r1|n20|b400|EHHO-VC,IMG_0005,105025.jpg,1,EHHO-VC,20,400,987927628,4.614739288874254,2,2,6,400,True,19.731676600000355,12,12,4.614739288874254,0.10359776658675689,0.007884050399583589,5,0,0,nan
IMG_0005|r1|n20|b400|BEHHO-VC-Calibrated,IMG_0005,105025.jpg,1,BEHHO-VC-Calibrated,20,400,987927628,4.614739288874254,2,2,6,400,True,30.45503599999938,20,20,4.614739288874254,0.7743333333333333,0.7395833333333334,4,0,0,nan
IMG_0005|r1|n20|b400|BDA-EHHO-VC-Calibrated,IMG_0005,105025.jpg,1,BDA-EHHO-VC-Calibrated,20,400,987927628,4.615642952106595,2,2,213,400,True,48.21797210001387,10,10,4.615642952106595,nan,nan,0,90,110,0.45
IMG_0005|r2|n20|b400|HHO-VC,IMG_0005,105025.jpg,2,HHO-VC,20,400,529390759,4.611368995002683,31,3,10,400,True,45.40860820002854,11,11,4.611368995002683,nan,nan,0,0,0,nan
IMG_0005|r2|n20|b400|EHHO-VC,IMG_0005,105025.jpg,2,EHHO-VC,20,400,529390759,4.612146293213647,48,3,19,400,True,54.53577389998827,13,13,4.612146293213647,0.24233904363041267,0.08616804527086103,0,0,0,nan
IMG_0005|r2|n20|b400|BEHHO-VC-Calibrated,IMG_0005,105025.jpg,2,BEHHO-VC-Calibrated,20,400,529390759,4.612660821968706,25,3,3,400,True,64.2033959000255,20,20,4.612660821968706,0.9204375,0.9220833333333333,0,0,0,nan
IMG_0005|r2|n20|b400|BDA-EHHO-VC-Calibrated,IMG_0005,105025.jpg,2,BDA-EHHO-VC-Calibrated,20,400,529390759,4.6126904598571095,33,3,7,400,True,66.41404300002614,10,10,4.6126904598571095,nan,nan,0,88,112,0.44
IMG_0006|r1|n20|b400|HHO-VC,IMG_0006,106024.jpg,1,HHO-VC,20,400,1410984088,4.709067854349006,2,33,2,400,True,57.48647720000008,11,11,4.709067854349006,nan,nan,0,0,0,nan
IMG_0006|r1|n20|b400|EHHO-VC,IMG_0006,106024.jpg,1,EHHO-VC,20,400,1410984088,4.709067854349006,2,33,2,400,True,54.79296369996155,13,13,4.709067854349006,0.16423773263562058,0.046594061521602725,0,0,0,nan
IMG_0006|r1|n20|b400|BEHHO-VC-Calibrated,IMG_0006,106024.jpg,1,BEHHO-VC-Calibrated,20,400,1410984088,4.707918501349213,2,234,20,400,True,57.98679609998362,20,20,4.707918501349213,0.8397500000000001,0.8420833333333334,1,0,0,nan
IMG_0006|r1|n20|b400|BDA-EHHO-VC-Calibrated,IMG_0006,106024.jpg,1,BDA-EHHO-VC-Calibrated,20,400,1410984088,4.708326992379559,2,34,35,400,True,65.43157650000649,10,10,4.708326992379559,nan,nan,0,90,110,0.45
IMG_0006|r2|n20|b400|HHO-VC,IMG_0006,106024.jpg,2,HHO-VC,20,400,902949870,4.7030241741631285,18,67,231,400,True,61.77906090003671,11,11,4.7030241741631285,nan,nan,0,0,0,nan
IMG_0006|r2|n20|b400|EHHO-VC,IMG_0006,106024.jpg,2,EHHO-VC,20,400,902949870,4.7030241741631285,18,67,231,400,True,65.70921189995715,13,13,4.7030241741631285,0.3894734103086701,0.4065628442016111,0,0,0,nan
IMG_0006|r2|n20|b400|BEHHO-VC-Calibrated,IMG_0006,106024.jpg,2,BEHHO-VC-Calibrated,20,400,902949870,4.703135961939693,52,46,217,400,True,64.66013659996679,20,20,4.703135961939693,0.8622291666666667,0.8108333333333334,0,0,0,nan
IMG_0006|r2|n20|b400|BDA-EHHO-VC-Calibrated,IMG_0006,106024.jpg,2,BDA-EHHO-VC-Calibrated,20,400,902949870,4.703197131971566,7,46,2,400,True,59.798094299971126,10,10,4.703197131971566,nan,nan,0,89,111,0.445
IMG_0015|r1|n20|b400|HHO-VC,IMG_0015,130026.jpg,1,HHO-VC,20,400,1025604623,4.8860738394133065,190,138,199,400,True,60.56266639998648,11,11,4.8860738394133065,nan,nan,0,0,0,nan
IMG_0015|r1|n20|b400|EHHO-VC,IMG_0015,130026.jpg,1,EHHO-VC,20,400,1025604623,4.886137022347136,190,139,200,400,True,67.1285192000214,13,13,4.886137022347136,0.5020637992589081,0.48434952587281926,0,0,0,nan
IMG_0015|r1|n20|b400|BEHHO-VC-Calibrated,IMG_0015,130026.jpg,1,BEHHO-VC-Calibrated,20,400,1025604623,4.885680193200585,95,127,255,400,True,69.93927450000774,20,20,4.885680193200585,0.7306458333333332,0.6929166666666666,8,0,0,nan
IMG_0015|r1|n20|b400|BDA-EHHO-VC-Calibrated,IMG_0015,130026.jpg,1,BDA-EHHO-VC-Calibrated,20,400,1025604623,4.8848900660938135,32,140,242,400,True,66.13228850002633,10,10,4.8848900660938135,nan,nan,0,97,103,0.485
IMG_0015|r2|n20|b400|HHO-VC,IMG_0015,130026.jpg,2,HHO-VC,20,400,1455235506,4.8855804357132975,166,50,228,400,True,62.803288399998564,11,11,4.8855804357132975,nan,nan,0,0,0,nan
IMG_0015|r2|n20|b400|EHHO-VC,IMG_0015,130026.jpg,2,EHHO-VC,20,400,1455235506,4.885065750460864,34,6,50,400,True,46.75771380000515,13,13,4.885065750460864,0.23828692633745815,0.11195787436353326,0,0,0,nan
IMG_0015|r2|n20|b400|BEHHO-VC-Calibrated,IMG_0015,130026.jpg,2,BEHHO-VC-Calibrated,20,400,1455235506,4.885032019115998,2,50,112,400,True,52.81934419996105,20,20,4.885032019115998,0.8720208333333334,0.84625,0,0,0,nan
IMG_0015|r2|n20|b400|BDA-EHHO-VC-Calibrated,IMG_0015,130026.jpg,2,BDA-EHHO-VC-Calibrated,20,400,1455235506,4.884365123901637,11,8,104,400,True,62.12296940002125,10,10,4.884971925250011,nan,nan,0,98,102,0.49
IMG_0034|r1|n20|b400|HHO-VC,IMG_0034,182053.jpg,1,HHO-VC,20,400,747861275,5.266288533232882,43,75,78,400,True,67.61911390000023,11,11,5.266288533232882,nan,nan,0,0,0,nan
IMG_0034|r1|n20|b400|EHHO-VC,IMG_0034,182053.jpg,1,EHHO-VC,20,400,747861275,5.265946142904206,25,48,39,400,True,66.74911630002316,13,13,5.265946142904206,0.17788257229537668,0.0945941213089611,0,0,0,nan
IMG_0034|r1|n20|b400|BEHHO-VC-Calibrated,IMG_0034,182053.jpg,1,BEHHO-VC-Calibrated,20,400,747861275,5.265948430864512,69,38,40,400,True,67.15545029996429,20,20,5.265948430864512,0.8614374999999999,0.8520833333333333,0,0,0,nan
IMG_0034|r1|n20|b400|BDA-EHHO-VC-Calibrated,IMG_0034,182053.jpg,1,BDA-EHHO-VC-Calibrated,20,400,747861275,5.26598925367639,46,65,38,400,True,66.81584720005048,10,10,5.266127330231005,nan,nan,0,103,97,0.515
IMG_0034|r2|n20|b400|HHO-VC,IMG_0034,182053.jpg,2,HHO-VC,20,400,1360068723,5.269962979724515,109,237,164,400,True,66.67018030001782,11,11,5.269962979724515,nan,nan,0,0,0,nan
IMG_0034|r2|n20|b400|EHHO-VC,IMG_0034,182053.jpg,2,EHHO-VC,20,400,1360068723,5.269962979724515,109,237,164,400,True,69.33940999995684,13,13,5.269962979724515,0.477940628794507,0.4424573207974178,0,0,0,nan
IMG_0034|r2|n20|b400|BEHHO-VC-Calibrated,IMG_0034,182053.jpg,2,BEHHO-VC-Calibrated,20,400,1360068723,5.270000710686921,198,176,4,400,True,70.10420860000886,20,20,5.270000710686921,0.843,0.67625,1,0,0,nan
IMG_0034|r2|n20|b400|BDA-EHHO-VC-Calibrated,IMG_0034,182053.jpg,2,BDA-EHHO-VC-Calibrated,20,400,1360068723,5.270030432731749,78,240,4,400,True,67.97985810000682,10,10,5.270030432731749,nan,nan,0,90,110,0.45
IMG_0063|r1|n20|b400|HHO-VC,IMG_0063,302008.jpg,1,HHO-VC,20,400,827430056,4.041024156858889,87,227,182,400,True,64.48907030001283,12,12,4.041024156858889,nan,nan,0,0,0,nan
IMG_0063|r1|n20|b400|EHHO-VC,IMG_0063,302008.jpg,1,EHHO-VC,20,400,827430056,4.041086037726192,87,221,182,400,True,65.47848970000632,14,14,4.041086037726192,0.49588880780917627,0.5194831172739963,0,0,0,nan
IMG_0063|r1|n20|b400|BEHHO-VC-Calibrated,IMG_0063,302008.jpg,1,BEHHO-VC-Calibrated,20,400,827430056,4.040863558910483,255,222,255,400,True,64.50571419997141,20,20,4.040863558910483,0.7971041666666667,0.78125,2,0,0,nan
IMG_0063|r1|n20|b400|BDA-EHHO-VC-Calibrated,IMG_0063,302008.jpg,1,BDA-EHHO-VC-Calibrated,20,400,827430056,4.041162319552701,19,174,132,400,True,52.896372199989855,10,10,4.041162319552701,nan,nan,0,106,94,0.53
IMG_0063|r2|n20|b400|HHO-VC,IMG_0063,302008.jpg,2,HHO-VC,20,400,1987326251,4.036112164203122,2,7,10,400,True,48.28034699999262,12,12,4.036112164203122,nan,nan,0,0,0,nan
IMG_0063|r2|n20|b400|EHHO-VC,IMG_0063,302008.jpg,2,EHHO-VC,20,400,1987326251,4.036132218239536,2,6,6,400,True,64.7747914000065,14,14,4.036132218239536,0.1405366456525516,0.03753257282435059,3,0,0,nan
IMG_0063|r2|n20|b400|BEHHO-VC-Calibrated,IMG_0063,302008.jpg,2,BEHHO-VC-Calibrated,20,400,1987326251,4.036815542782297,32,6,100,400,True,58.62862299999688,20,20,4.036815542782297,0.8359375,0.7804166666666665,4,0,0,nan
IMG_0063|r2|n20|b400|BDA-EHHO-VC-Calibrated,IMG_0063,302008.jpg,2,BDA-EHHO-VC-Calibrated,20,400,1987326251,4.036256925553205,154,6,153,400,True,42.26933749997988,10,10,4.036256925553205,nan,nan,0,93,107,0.465
IMG_0065|r1|n20|b400|HHO-VC,IMG_0065,304074.jpg,1,HHO-VC,20,400,839736107,5.243832533833977,254,254,254,400,True,21.833990600018296,12,12,5.243832533833977,nan,nan,0,0,0,nan
IMG_0065|r1|n20|b400|EHHO-VC,IMG_0065,304074.jpg,1,EHHO-VC,20,400,839736107,5.243832533833977,254,254,254,400,True,22.246932100038975,13,13,5.243832533833977,0.5843327071357766,0.6370543279922662,0,0,0,nan
IMG_0065|r1|n20|b400|BEHHO-VC-Calibrated,IMG_0065,304074.jpg,1,BEHHO-VC-Calibrated,20,400,839736107,5.243703004034843,211,238,255,400,True,28.766646999982186,20,20,5.243703004034843,0.7884583333333334,0.5991666666666666,3,0,0,nan
