run_key,experiment_id,filename,run_index,algorithm,algorithm_order,population_size,evaluation_budget,master_seed,best_score,level_R,level_G,level_B,evaluations,budget_compliant,runtime_s,iterations_completed,convergence_points,final_convergence_value,diversity_mean,diversity_final,injection_count,bda_proposals,ehho_proposals,bda_fraction,cache_entries,cache_hits,cache_misses,cache_hit_rate
IMG_0001|r1|n30|b600|BEHHO-VC-Calibrated,IMG_0001,101085.jpg,1,BEHHO-VC-Calibrated,1,30,600,1446857620,4.84040528303165,17,75,128,600,True,10.836937299987767,20,20,4.84040528303165,0.8904537037037038,0.9296296296296296,0,0,0,nan,584,1219,584,0.6760953965612867
IMG_0001|r1|n30|b600|BDA-EHHO-VC-Calibrated,IMG_0001,101085.jpg,1,BDA-EHHO-VC-Calibrated,2,30,600,1446857620,4.839803916504475,17,83,71,600,True,9.327468700008467,10,10,4.839803916504475,nan,nan,0,165,135,0.55,512,1291,512,0.7160288408208542
IMG_0001|r1|n30|b600|HHO-VC,IMG_0001,101085.jpg,1,HHO-VC,3,30,600,1446857620,4.840067165047716,17,53,29,600,True,4.637530800013337,11,11,4.840067165047716,nan,nan,0,0,0,nan,260,1540,260,0.8555555555555555
IMG_0001|r1|n30|b600|EHHO-VC,IMG_0001,101085.jpg,1,EHHO-VC,4,30,600,1446857620,4.840305705677372,17,25,50,600,True,4.920272699964698,13,13,4.840305705677372,0.1558057931285619,0.11175001373564247,0,0,0,nan,266,1534,266,0.8522222222222222
IMG_0001|r2|n30|b600|HHO-VC,IMG_0001,101085.jpg,2,HHO-VC,1,30,600,1065080759,4.834503447829273,27,154,240,600,True,6.617089400009718,11,11,4.834503447829273,nan,nan,0,0,0,nan,352,1448,352,0.8044444444444444
IMG_0001|r2|n30|b600|EHHO-VC,IMG_0001,101085.jpg,2,EHHO-VC,2,30,600,1065080759,4.834339556175091,27,152,239,600,True,8.410801599966362,13,13,4.834339556175091,0.46473383610546193,0.46478381783173106,0,0,0,nan,388,1412,388,0.7844444444444445
IMG_0001|r2|n30|b600|BDA-EHHO-VC-Calibrated,IMG_0001,101085.jpg,2,BDA-EHHO-VC-Calibrated,3,30,600,1065080759,4.834397775227717,27,127,217,600,True,10.402748799999245,10,10,4.834397775227717,nan,nan,0,143,157,0.4766666666666667,498,1305,498,0.7237936772046589
IMG_0001|r2|n30|b600|BEHHO-VC-Calibrated,IMG_0001,101085.jpg,2,BEHHO-VC-Calibrated,4,30,600,1065080759,4.834225852782249,27,145,229,600,True,11.344387800025288,20,20,4.834225852782249,0.8193055555555555,0.9638888888888889,6,0,0,nan,564,1239,564,0.6871880199667221
IMG_0001|r3|n30|b600|BDA-EHHO-VC-Calibrated,IMG_0001,101085.jpg,3,BDA-EHHO-VC-Calibrated,1,30,600,1844445545,4.841555861696063,2,2,177,600,True,11.232757000019774,10,10,4.841555861696063,nan,nan,0,143,157,0.4766666666666667,494,1309,494,0.726012201885746
IMG_0001|r3|n30|b600|BEHHO-VC-Calibrated,IMG_0001,101085.jpg,3,BEHHO-VC-Calibrated,2,30,600,1844445545,4.842047348494168,2,2,136,600,True,22.720362699998077,20,20,4.842047348494168,0.8515185185185186,0.862037037037037,1,0,0,nan,540,1263,540,0.7004991680532446
