duplicate_group,sha256,relative_path,filename,size_bytes,extension
1,036eeb42cc04fea9f0bd7c3c19343e0c3e66b74c979e74829331e4a832ae7810,BSR\bench\data\images\5096.jpg,5096.jpg,71961,.jpg
1,036eeb42cc04fea9f0bd7c3c19343e0c3e66b74c979e74829331e4a832ae7810,BSR\BSDS500\data\images\test\5096.jpg,5096.jpg,71961,.jpg
2,0ce9b9c37a51d8bfc19df82906943d26a395a73e373da480acfe6c49e0f5e1ff,BSR\bench\data\groundTruth\2018.mat,2018.mat,43462,.mat
2,0ce9b9c37a51d8bfc19df82906943d26a395a73e373da480acfe6c49e0f5e1ff,BSR\BSDS500\data\groundTruth\test\2018.mat,2018.mat,43462,.mat
3,160faa4e5a1ce7428bc03e12c4d5b12b2780e8955de2210b7e91421d662911d5,BSR\bench\data\images\8068.jpg,8068.jpg,54207,.jpg
3,160faa4e5a1ce7428bc03e12c4d5b12b2780e8955de2210b7e91421d662911d5,BSR\BSDS500\data\images\test\8068.jpg,8068.jpg,54207,.jpg
4,181f54d5dc7c77222c5c9992289c885f38156fcae91df8e25c2dda2d3f810b00,BSR\bench\data\images\2018.jpg,2018.jpg,75004,.jpg
4,181f54d5dc7c77222c5c9992289c885f38156fcae91df8e25c2dda2d3f810b00,BSR\BSDS500\data\images\test\2018.jpg,2018.jpg,75004,.jpg
5,3db99e079df3ee618560d840d02dbf124e35d06461058b4f88688b7334cbe098,BSR\bench\data\images\6046.jpg,6046.jpg,84493,.jpg
5,3db99e079df3ee618560d840d02dbf124e35d06461058b4f88688b7334cbe098,BSR\BSDS500\data\images\test\6046.jpg,6046.jpg,84493,.jpg
6,518aaf3ad25bea614f83ca97bac36462cb4529daa1ca43128d7f74283d0ab1d3,BSR\bench\data\test_4\eval_cover_img.txt,eval_cover_img.txt,220,.txt
6,518aaf3ad25bea614f83ca97bac36462cb4529daa1ca43128d7f74283d0ab1d3,BSR\bench\data\test_5\eval_cover_img.txt,eval_cover_img.txt,220,.txt
7,7c647de04b0a9aa182648a886dda18e907dd58aef5e2eae1282784ce053f800e,BSR\bench\data\groundTruth\3063.mat,3063.mat,35178,.mat
7,7c647de04b0a9aa182648a886dda18e907dd58aef5e2eae1282784ce053f800e,BSR\BSDS500\data\groundTruth\test\3063.mat,3063.mat,35178,.mat
8,7db2abcc1a20a3e7eab9f3db948fa3603edcacc2442288d6ec5dbccaf8ad1c05,BSR\bench\data\test_4\eval_cover_th.txt,eval_cover_th.txt,110,.txt
8,7db2abcc1a20a3e7eab9f3db948fa3603edcacc2442288d6ec5dbccaf8ad1c05,BSR\bench\data\test_5\eval_cover_th.txt,eval_cover_th.txt,110,.txt
9,906e14d981078c449b78a182a8e24de51b40bef786f20d9e781a81ef31a46dc7,BSR\bench\data\test_4\eval_cover.txt,eval_cover.txt,44,.txt
9,906e14d981078c449b78a182a8e24de51b40bef786f20d9e781a81ef31a46dc7,BSR\bench\data\test_5\eval_cover.txt,eval_cover.txt,44,.txt
10,9e3188ca12c7e368866cffa5c2cd5642aeda0e77dd4485309c829e4b970fd5c1,BSR\bench\data\groundTruth\6046.mat,6046.mat,46750,.mat
10,9e3188ca12c7e368866cffa5c2cd5642aeda0e77dd4485309c829e4b970fd5c1,BSR\BSDS500\data\groundTruth\test\6046.mat,6046.mat,46750,.mat
11,a0bdd09304fda14fa490e4d27f5557120031c2f95a3a9cb3194b63724e1b00ce,BSR\bench\data\test_4\eval_RI_VOI.txt,eval_RI_VOI.txt,66,.txt
11,a0bdd09304fda14fa490e4d27f5557120031c2f95a3a9cb3194b63724e1b00ce,BSR\bench\data\test_5\eval_RI_VOI.txt,eval_RI_VOI.txt,66,.txt
12,ae7d07418a30bc7b4f63f25ee03df47c93a9ed10aa70249b1b3409c1c989ddeb,BSR\bench\data\groundTruth\5096.mat,5096.mat,41515,.mat
12,ae7d07418a30bc7b4f63f25ee03df47c93a9ed10aa70249b1b3409c1c989ddeb,BSR\BSDS500\data\groundTruth\test\5096.mat,5096.mat,41515,.mat
13,b98bff045cc2fca3011e11d437b11e9ad564c305f5e75aeed8cf1e99b23d2076,BSR\bench\data\images\3063.jpg,3063.jpg,47609,.jpg
13,b98bff045cc2fca3011e11d437b11e9ad564c305f5e75aeed8cf1e99b23d2076,BSR\BSDS500\data\images\test\3063.jpg,3063.jpg,47609,.jpg
14,ec151ff3c01ae38d6f69359a8994a7d3353c5fce6e8bd07e977aa0979dee47f3,BSR\bench\data\groundTruth\8068.mat,8068.mat,33815,.mat
14,ec151ff3c01ae38d6f69359a8994a7d3353c5fce6e8bd07e977aa0979dee47f3,BSR\BSDS500\data\groundTruth\test\8068.mat,8068.mat,33815,.mat
15,fd79bcab88721f888090b31d5ac7f29a8b4e900f0bceddf3a3de6f867d86abd8,BSR\bench\data\test_4\eval_RI_VOI_thr.txt,eval_RI_VOI_thr.txt,165,.txt
15,fd79bcab88721f888090b31d5ac7f29a8b4e900f0bceddf3a3de6f867d86abd8,BSR\bench\data\test_5\eval_RI_VOI_thr.txt,eval_RI_VOI_thr.txt,165,.txt
