run_key,experiment_id,filename,run_index,seed,runtime_s,evaluations,budget_compliant,archive_size,mean_diversity,final_diversity,injection_count,bda_proposals,ehho_proposals,bda_fraction,cache_hit_rate
IMG_0001|r1,IMG_0001,101085.jpg,1,1266129992,47.04234310000902,600,True,100,0.9490648148148146,0.9525925925925925,0,294,276,0.5157894736842106,0.0016666666666666668
IMG_0001|r2,IMG_0001,101085.jpg,2,364888884,44.165495999972336,600,True,99,0.9481666666666666,0.9427777777777777,0,289,281,0.5070175438596491,0.006666666666666667
IMG_0001|r3,IMG_0001,101085.jpg,3,1710573787,43.197939400037285,600,True,99,0.9445092592592591,0.9092592592592593,0,289,281,0.5070175438596491,0.0016666666666666668
IMG_0001|r4,IMG_0001,101085.jpg,4,1543612035,44.24961020000046,600,True,94,0.9259074074074073,0.9135185185185185,0,284,286,0.4982456140350877,0.0
IMG_0001|r5,IMG_0001,101085.jpg,5,642304673,72.15607500000624,600,True,100,0.9321944444444444,0.9507407407407408,0,262,308,0.45964912280701753,0.0
IMG_0002|r1,IMG_0002,101087.jpg,1,1731300429,105.99168360000476,600,True,34,0.9288240740740742,0.9301851851851852,0,316,254,0.5543859649122806,0.0
IMG_0002|r2,IMG_0002,101087.jpg,2,734837942,110.5195861000102,600,True,71,0.9448611111111109,0.9548148148148149,0,285,285,0.5,0.0033333333333333335
IMG_0002|r3,IMG_0002,101087.jpg,3,1443104526,80.49561710003763,600,True,32,0.930712962962963,0.9107407407407407,0,297,273,0.5210526315789473,0.0016666666666666668
IMG_0002|r4,IMG_0002,101087.jpg,4,1408327285,84.20663520001108,600,True,100,0.9502500000000002,0.9379629629629629,0,270,300,0.47368421052631576,0.005
IMG_0002|r5,IMG_0002,101087.jpg,5,666131303,96.30903900001431,600,True,75,0.9352777777777778,0.891111111111111,0,295,275,0.5175438596491229,0.0033333333333333335
IMG_0003|r1,IMG_0003,102061.jpg,1,424240572,128.76562799996464,600,True,100,0.9451944444444443,0.9218518518518518,0,280,290,0.49122807017543857,0.0016666666666666668
IMG_0003|r2,IMG_0003,102061.jpg,2,2104809593,136.67314000002807,600,True,71,0.9373981481481483,0.9248148148148149,0,279,291,0.48947368421052634,0.0033333333333333335
IMG_0003|r3,IMG_0003,102061.jpg,3,2146482104,142.98321169998962,600,True,99,0.9372685185185183,0.9164814814814815,0,267,303,0.46842105263157896,0.0016666666666666668
IMG_0003|r4,IMG_0003,102061.jpg,4,674140768,110.39958949998254,600,True,50,0.9154814814814813,0.8938888888888888,0,253,317,0.443859649122807,0.0
IMG_0003|r5,IMG_0003,102061.jpg,5,820259271,105.04236620001029,600,True,63,0.9390462962962964,0.8992592592592592,0,271,299,0.47543859649122805,0.0
IMG_0004|r1,IMG_0004,103070.jpg,1,1072181741,131.9071055999957,600,True,62,0.9400462962962963,0.9085185185185184,0,291,279,0.5105263157894737,0.0
IMG_0004|r2,IMG_0004,103070.jpg,2,330758256,142.78128220001236,600,True,100,0.949472222222222,0.9377777777777778,0,280,290,0.49122807017543857,0.0
IMG_0004|r3,IMG_0004,103070.jpg,3,1179417782,135.67001879995223,600,True,78,0.9396388888888886,0.9246296296296297,0,273,297,0.4789473684210526,0.0033333333333333335
IMG_0004|r4,IMG_0004,103070.jpg,4,1179898578,138.2245332999737,600,True,93,0.9481388888888889,0.9353703703703703,0,283,287,0.4964912280701754,0.0
IMG_0004|r5,IMG_0004,103070.jpg,5,82215611,132.6611794999917,600,True,84,0.9280277777777778,0.9364814814814815,0,290,280,0.5087719298245614,0.0
IMG_0005|r1,IMG_0005,105025.jpg,1,309004466,122.10068840003805,600,True,41,0.9440462962962963,0.8531481481481481,0,287,283,0.5035087719298246,0.0033333333333333335
IMG_0005|r2,IMG_0005,105025.jpg,2,1566198515,106.15260190004483,600,True,35,0.9221203703703702,0.8905555555555557,0,275,295,0.4824561403508772,0.0016666666666666668
IMG_0005|r3,IMG_0005,105025.jpg,3,1955195281,120.3589982999838,600,True,39,0.9182870370370371,0.9031481481481481,0,273,297,0.4789473684210526,0.0
IMG_0005|r4,IMG_0005,105025.jpg,4,322940297,123.58394199999748,600,True,26,0.9319444444444442,0.8896296296296295,0,272,298,0.47719298245614034,0.0033333333333333335
IMG_0005|r5,IMG_0005,105025.jpg,5,1483114701,101.60624630004168,600,True,24,0.9020092592592592,0.9116666666666667,0,272,298,0.47719298245614034,0.0016666666666666668
IMG_0006|r1,IMG_0006,106024.jpg,1,848987170,72.3863612000132,600,True,45,0.9197685185185185,0.8688888888888888,0,289,281,0.5070175438596491,0.011666666666666667
IMG_0006|r2,IMG_0006,106024.jpg,2,764450894,86.11069839994889,600,True,75,0.9494722222222223,0.9348148148148147,0,291,279,0.5105263157894737,0.005
IMG_0006|r3,IMG_0006,106024.jpg,3,17291374,106.46800049999729,600,True,100,0.952388888888889,0.9590740740740741,0,276,294,0.4842105263157895,0.0
IMG_0006|r4,IMG_0006,106024.jpg,4,1907979731,86.46729549998417,600,True,69,0.9405185185185184,0.9312962962962962,0,264,306,0.4631578947368421,0.0
IMG_0006|r5,IMG_0006,106024.jpg,5,702738150,78.87405069998931,600,True,35,0.878638888888889,0.8744444444444445,0,271,299,0.47543859649122805,0.0
IMG_0007|r1,IMG_0007,108005.jpg,1,221020759,98.90397370001301,600,True,71,0.939324074074074,0.9485185185185184,0,294,276,0.5157894736842106,0.0033333333333333335
IMG_0007|r2,IMG_0007,108005.jpg,2,327759021,76.5966008999967,600,True,54,0.8945925925925925,0.8624074074074075,0,285,285,0.5,0.0
IMG_0007|r3,IMG_0007,108005.jpg,3,416803558,79.37631050002528,600,True,87,0.948925925925926,0.9622222222222222,0,274,296,0.4807017543859649,0.0
IMG_0007|r4,IMG_0007,108005.jpg,4,1759848355,74.45468170003733,600,True,73,0.9404537037037036,0.9109259259259259,0,280,290,0.49122807017543857,0.0
IMG_0007|r5,IMG_0007,108005.jpg,5,1321066827,70.59926899999846,600,True,39,0.8874722222222221,0.8509259259259259,0,283,287,0.4964912280701754,0.0033333333333333335
