metric,algorithm_A,algorithm_B,median_difference_A_minus_MO,wilcoxon_statistic,p_raw,rank_biserial_A_minus_MO,wins_MO,wins_A,ties,p_holm,significant_holm_0_05
hypervolume,HHO-VC,MO-BDA-EHHO-VC,-0.8132824106665929,0.0,3.8965598450959084e-18,-1.0,100,0,0,1.5586239380383634e-17,True
hypervolume,EHHO-VC,MO-BDA-EHHO-VC,-0.8190988977037661,0.0,3.8965598450959084e-18,-1.0,100,0,0,1.5586239380383634e-17,True
hypervolume,BEHHO-VC-Calibrated,MO-BDA-EHHO-VC,-0.8001494476240918,0.0,3.8965598450959084e-18,-1.0,100,0,0,1.5586239380383634e-17,True
hypervolume,BDA-EHHO-VC-Calibrated,MO-BDA-EHHO-VC,-0.7913242605070934,0.0,3.8965598450959084e-18,-1.0,100,0,0,1.5586239380383634e-17,True
igd,HHO-VC,MO-BDA-EHHO-VC,0.7570052955260376,0.0,3.8965598450959084e-18,1.0,100,0,0,1.5586239380383634e-17,True
igd,EHHO-VC,MO-BDA-EHHO-VC,0.743475152979408,0.0,3.8965598450959084e-18,1.0,100,0,0,1.5586239380383634e-17,True
igd,BEHHO-VC-Calibrated,MO-BDA-EHHO-VC,0.7474379121889922,0.0,3.8965598450959084e-18,1.0,100,0,0,1.5586239380383634e-17,True
igd,BDA-EHHO-VC-Calibrated,MO-BDA-EHHO-VC,0.6846929563572032,0.0,3.8965598450959084e-18,1.0,100,0,0,1.5586239380383634e-17,True
epsilon_additive,HHO-VC,MO-BDA-EHHO-VC,0.7983195898079798,0.0,3.896340037647931e-18,1.0,100,0,0,1.5577449197891235e-17,True
epsilon_additive,EHHO-VC,MO-BDA-EHHO-VC,0.7998215700451923,0.0,3.895680685825537e-18,1.0,100,0,0,1.5577449197891235e-17,True
epsilon_additive,BEHHO-VC-Calibrated,MO-BDA-EHHO-VC,0.7611000126033038,0.0,3.895680685825537e-18,1.0,100,0,0,1.5577449197891235e-17,True
epsilon_additive,BDA-EHHO-VC-Calibrated,MO-BDA-EHHO-VC,0.731908347171489,0.0,3.894362299472809e-18,1.0,100,0,0,1.5577449197891235e-17,True
eval_f1_reconstruction,HHO-VC,MO-BDA-EHHO-VC,0.010419909485330031,99.0,7.343095847008848e-17,0.9607920792079208,91,9,0,2.937238338803539e-16,True
eval_f1_reconstruction,EHHO-VC,MO-BDA-EHHO-VC,0.010024406780866385,133.0,1.96050908232556e-16,0.9473267326732673,90,10,0,4.412246791723902e-16,True
eval_f1_reconstruction,BEHHO-VC-Calibrated,MO-BDA-EHHO-VC,0.010798378198048325,123.0,1.470748930574634e-16,0.9512871287128712,92,8,0,4.412246791723902e-16,True
eval_f1_reconstruction,BDA-EHHO-VC-Calibrated,MO-BDA-EHHO-VC,0.0068109425448623084,296.0,1.8019328432324392e-14,0.8827722772277228,89,11,0,1.8019328432324392e-14,True
eval_f2_security,HHO-VC,MO-BDA-EHHO-VC,0.00032892717264809994,147.0,2.926041629852011e-16,0.9417821782178217,94,6,0,8.778124889556033e-16,True
eval_f2_security,EHHO-VC,MO-BDA-EHHO-VC,0.0003047209155530999,229.0,2.917295855137348e-15,0.9093069306930693,93,7,0,2.917295855137348e-15,True
eval_f2_security,BEHHO-VC-Calibrated,MO-BDA-EHHO-VC,0.00032513897514615,88.0,5.328972389674846e-17,0.9651485148514851,97,3,0,2.1315889558699384e-16,True
eval_f2_security,BDA-EHHO-VC-Calibrated,MO-BDA-EHHO-VC,0.0003120827175303501,154.0,3.5716108787188483e-16,0.939009900990099,93,7,0,8.778124889556033e-16,True
eval_f3_robustness,HHO-VC,MO-BDA-EHHO-VC,9.858888363560234e-05,154.0,3.5708991416668527e-16,0.939009900990099,93,7,0,1.428359656666741e-15,True
eval_f3_robustness,EHHO-VC,MO-BDA-EHHO-VC,0.00010002813741129962,215.0,1.9804155432165223e-15,0.9148514851485149,88,12,0,3.960831086433045e-15,True
eval_f3_robustness,BEHHO-VC-Calibrated,MO-BDA-EHHO-VC,9.103280131314909e-05,183.0,8.105450278493944e-16,0.9275247524752476,90,10,0,2.431635083548183e-15,True
eval_f3_robustness,BDA-EHHO-VC-Calibrated,MO-BDA-EHHO-VC,0.00010290664496269766,243.0,4.285974854194587e-15,0.9037623762376238,87,13,0,4.285974854194587e-15,True
eval_f4_complexity,HHO-VC,MO-BDA-EHHO-VC,0.0777777777777778,1044.5,3.6043692846160256e-07,0.5896969696969697,70,29,1,7.208738569232051e-07,True
eval_f4_complexity,EHHO-VC,MO-BDA-EHHO-VC,0.08235294117647055,1095.5,8.873555781813678e-07,0.5661386138613861,66,34,0,8.873555781813678e-07,True
eval_f4_complexity,BEHHO-VC-Calibrated,MO-BDA-EHHO-VC,0.11895424836601311,556.0,1.287008578845559e-11,0.7798019801980198,80,20,0,3.861025736536677e-11,True
eval_f4_complexity,BDA-EHHO-VC-Calibrated,MO-BDA-EHHO-VC,0.18039215686274515,97.0,6.927297752845722e-17,0.9615841584158416,92,8,0,2.7709191011382887e-16,True
