algorithm,family,rate,median_delta_nmse,median_secret_nmse,median_psnr_db
BDA-EHHO-VC-Calibrated,bit_flip,0.05,0.049988342044416774,0.4279262122112643,3.686312088809835
BDA-EHHO-VC-Calibrated,bit_flip,0.1,0.0999896373728149,0.41648739015359326,3.8039818690051215
BDA-EHHO-VC-Calibrated,bit_flip,0.2,0.19992908077020222,0.39305729161392144,4.055441738488941
BDA-EHHO-VC-Calibrated,bit_flip,0.3,0.2999931995259098,0.36922969940206296,4.32703736987835
BDA-EHHO-VC-Calibrated,central_block,0.05,0.024926436141389348,0.4340861375522738,3.6242450227714107
BDA-EHHO-VC-Calibrated,central_block,0.1,0.04992465506484195,0.4274814906465565,3.6908296910504124
BDA-EHHO-VC-Calibrated,central_block,0.2,0.09985794565233816,0.41616759825687377,3.8073174378510473
BDA-EHHO-VC-Calibrated,central_block,0.3,0.14989756111251434,0.4043876706722054,3.932021025454858
BDA-EHHO-VC-Calibrated,crop_loss,0.05,0.024619335366998875,0.4346959114700493,3.618144764293063
BDA-EHHO-VC-Calibrated,crop_loss,0.1,0.049611077648460775,0.4296693125620892,3.668657019601482
BDA-EHHO-VC-Calibrated,crop_loss,0.2,0.10037014008976622,0.4161631976430023,3.8073640859303834
BDA-EHHO-VC-Calibrated,crop_loss,0.3,0.14981336476663576,0.40356685265685033,3.9408452254562323
BDA-EHHO-VC-Calibrated,pixel_dropout,0.05,0.0250187282897563,0.43418415820457446,3.6232603387913023
BDA-EHHO-VC-Calibrated,pixel_dropout,0.1,0.04999535840657332,0.42779662222461,3.6876277098201475
BDA-EHHO-VC-Calibrated,pixel_dropout,0.2,0.0999799224098289,0.41636011841964254,3.8053097790304515
BDA-EHHO-VC-Calibrated,pixel_dropout,0.3,0.15004328555730423,0.4055064208924873,3.9200226658542223
BDA-EHHO-VC-Calibrated,random_block,0.05,0.024929674462384675,0.4351650805944805,3.6134718166003172
BDA-EHHO-VC-Calibrated,random_block,0.1,0.049919797583348954,0.42913595919341374,3.674052447327025
BDA-EHHO-VC-Calibrated,random_block,0.2,0.09988924942195965,0.4163572670288275,3.8053605777540174
BDA-EHHO-VC-Calibrated,random_block,0.3,0.14990511719483673,0.4046222742169664,3.9295554731958813
BEHHO-VC-Calibrated,bit_flip,0.05,0.049988342044416774,0.43210741283233167,3.644082844167921
BEHHO-VC-Calibrated,bit_flip,0.1,0.0999896373728149,0.4197541981976437,3.7700502456909155
BEHHO-VC-Calibrated,bit_flip,0.2,0.19992908077020222,0.39376861326876955,4.047590500203567
BEHHO-VC-Calibrated,bit_flip,0.3,0.2999931995259098,0.3695663264593618,4.323084721498242
BEHHO-VC-Calibrated,central_block,0.05,0.024930214182550575,0.43851793584484455,3.5801264493638625
BEHHO-VC-Calibrated,central_block,0.1,0.049928433106003145,0.4326797992033146,3.6383338407986168
BEHHO-VC-Calibrated,central_block,0.2,0.0998735975371489,0.41808140007333705,3.78739171588352
BEHHO-VC-Calibrated,central_block,0.3,0.149889465310026,0.40541127043094294,3.9210425506189273
BEHHO-VC-Calibrated,crop_loss,0.05,0.0246279708896531,0.438655128901224,3.578769778349715
BEHHO-VC-Calibrated,crop_loss,0.1,0.04961593512995378,0.4330713421006514,3.6344059950175853
BEHHO-VC-Calibrated,crop_loss,0.2,0.10036852092926854,0.42072442528855764,3.760022821900429
BEHHO-VC-Calibrated,crop_loss,0.3,0.14981174560613808,0.4066634269512386,3.9076517436860483
BEHHO-VC-Calibrated,pixel_dropout,0.05,0.02501495024859505,0.43847080534680916,3.580593878531058
BEHHO-VC-Calibrated,pixel_dropout,0.1,0.04998996120491442,0.43201005154750477,3.6450617694965564
BEHHO-VC-Calibrated,pixel_dropout,0.2,0.0999669691258476,0.4197950418044415,3.7696280247911833
BEHHO-VC-Calibrated,pixel_dropout,0.3,0.15002709395232755,0.406558123210022,3.9087740894019642
BEHHO-VC-Calibrated,random_block,0.05,0.024926975861555276,0.4398407441543618,3.567045610872137
BEHHO-VC-Calibrated,random_block,0.1,0.049918718143017154,0.43396423858420863,3.6255005157665225
BEHHO-VC-Calibrated,random_block,0.2,0.09988007417913955,0.41929062367010383,3.774972437289982
BEHHO-VC-Calibrated,random_block,0.3,0.14991483215782278,0.40854558842518185,3.887719581034464
EHHO-VC,bit_flip,0.05,0.049988342044416774,0.4330503480029722,3.634616913331387
EHHO-VC,bit_flip,0.1,0.0999896373728149,0.42041693834760485,3.7631980525353512
EHHO-VC,bit_flip,0.2,0.19992908077020222,0.3932675200928604,4.053120605882282
EHHO-VC,bit_flip,0.3,0.2999931995259098,0.3699700562421946,4.318335749913794
