algorithm,family,median_delta_nmse,median_secret_nmse,median_secret_psnr_db
BDA-EHHO-VC-Calibrated,bit_flip,0.1624892325826905,0.40248774428928896,3.9604620291529757
BDA-EHHO-VC-Calibrated,central_block,0.08116824588787201,0.42053278639066993,3.7635284309174204
BDA-EHHO-VC-Calibrated,crop_loss,0.08110766229925104,0.4215526261673951,3.7545417689652467
BDA-EHHO-VC-Calibrated,pixel_dropout,0.08124151290039136,0.42073720907011125,3.761601706931443
BDA-EHHO-VC-Calibrated,random_block,0.0811668965874573,0.4223875242887251,3.7442490300857196
BEHHO-VC-Calibrated,bit_flip,0.1624892325826905,0.4033515219278243,3.9494377623578467
BEHHO-VC-Calibrated,central_block,0.08116433291666934,0.4233168074297115,3.735623945594594
BEHHO-VC-Calibrated,crop_loss,0.0811068527190022,0.4260528752014593,3.7074438061536332
BEHHO-VC-Calibrated,pixel_dropout,0.08125217237366766,0.4243374390429441,3.7242905244699314
BEHHO-VC-Calibrated,random_block,0.08116581714712551,0.4250449006963575,3.718361624981559
EHHO-VC,bit_flip,0.1624892325826905,0.4035051991731216,3.9513014423899895
EHHO-VC,central_block,0.08116784109774758,0.4233784874346377,3.7352236733316277
EHHO-VC,crop_loss,0.08110698764904367,0.42549916982364777,3.713232106186308
EHHO-VC,pixel_dropout,0.0812519025135847,0.4247388394238365,3.720290781839881
EHHO-VC,random_block,0.08116365826646196,0.4248290983087628,3.7200936736278685
HHO-VC,bit_flip,0.1624892325826905,0.4050715652069822,3.9338338854760817
HHO-VC,central_block,0.08116743630762316,0.42495890416065796,3.7171542211789284
HHO-VC,crop_loss,0.08110860680954135,0.4250737237618631,3.7175763786800786
HHO-VC,pixel_dropout,0.0812533867440409,0.42514414536385775,3.7164150257704476
HHO-VC,random_block,0.08116311854629607,0.42630955529512693,3.703885729435455
MO-BDA-EHHO-VC,bit_flip,0.1624892325826905,0.3934267014027494,4.057998496257188
MO-BDA-EHHO-VC,central_block,0.08117944508131421,0.40988442240633166,3.8749245938919534
MO-BDA-EHHO-VC,crop_loss,0.08110293974779952,0.4111547773423238,3.86144036938417
MO-BDA-EHHO-VC,pixel_dropout,0.08125244223375058,0.4107101757797572,3.865962243810797
MO-BDA-EHHO-VC,random_block,0.08116419798662786,0.4094912114956256,3.8786148166892263
