experiment_id,filename,run_index,algorithm,level_R,level_G,level_B,source
IMG_0001,101085.jpg,1,BEHHO-VC-Calibrated,17,75,128,E4_singleobjective_attained_solution
IMG_0001,101085.jpg,1,BDA-EHHO-VC-Calibrated,17,83,71,E4_singleobjective_attained_solution
IMG_0001,101085.jpg,1,HHO-VC,17,53,29,E4_singleobjective_attained_solution
IMG_0001,101085.jpg,1,EHHO-VC,17,25,50,E4_singleobjective_attained_solution
IMG_0001,101085.jpg,1,MO-BDA-EHHO-VC,2,66,13,E4_MO_equal_weight_compromise
IMG_0001,101085.jpg,2,HHO-VC,27,154,240,E4_singleobjective_attained_solution
IMG_0001,101085.jpg,2,EHHO-VC,27,152,239,E4_singleobjective_attained_solution
IMG_0001,101085.jpg,2,BDA-EHHO-VC-Calibrated,27,127,217,E4_singleobjective_attained_solution
IMG_0001,101085.jpg,2,BEHHO-VC-Calibrated,27,145,229,E4_singleobjective_attained_solution
IMG_0001,101085.jpg,2,MO-BDA-EHHO-VC,19,30,2,E4_MO_equal_weight_compromise
IMG_0001,101085.jpg,3,BDA-EHHO-VC-Calibrated,2,2,177,E4_singleobjective_attained_solution
IMG_0001,101085.jpg,3,BEHHO-VC-Calibrated,2,2,136,E4_singleobjective_attained_solution
IMG_0001,101085.jpg,3,EHHO-VC,2,2,37,E4_singleobjective_attained_solution
IMG_0001,101085.jpg,3,HHO-VC,2,2,37,E4_singleobjective_attained_solution
IMG_0001,101085.jpg,3,MO-BDA-EHHO-VC,50,35,26,E4_MO_equal_weight_compromise
IMG_0001,101085.jpg,4,BDA-EHHO-VC-Calibrated,160,41,26,E4_singleobjective_attained_solution
IMG_0001,101085.jpg,4,EHHO-VC,82,233,17,E4_singleobjective_attained_solution
IMG_0001,101085.jpg,4,HHO-VC,21,56,7,E4_singleobjective_attained_solution
IMG_0001,101085.jpg,4,BEHHO-VC-Calibrated,160,240,22,E4_singleobjective_attained_solution
IMG_0001,101085.jpg,4,MO-BDA-EHHO-VC,21,58,24,E4_MO_equal_weight_compromise
IMG_0001,101085.jpg,5,HHO-VC,165,80,33,E4_singleobjective_attained_solution
IMG_0001,101085.jpg,5,BDA-EHHO-VC-Calibrated,165,80,64,E4_singleobjective_attained_solution
IMG_0001,101085.jpg,5,EHHO-VC,92,74,21,E4_singleobjective_attained_solution
IMG_0001,101085.jpg,5,BEHHO-VC-Calibrated,160,24,40,E4_singleobjective_attained_solution
IMG_0001,101085.jpg,5,MO-BDA-EHHO-VC,35,27,37,E4_MO_equal_weight_compromise
IMG_0002,101087.jpg,1,BEHHO-VC-Calibrated,108,2,130,E4_singleobjective_attained_solution
IMG_0002,101087.jpg,1,HHO-VC,76,39,21,E4_singleobjective_attained_solution
IMG_0002,101087.jpg,1,BDA-EHHO-VC-Calibrated,149,2,21,E4_singleobjective_attained_solution
IMG_0002,101087.jpg,1,EHHO-VC,76,39,21,E4_singleobjective_attained_solution
IMG_0002,101087.jpg,1,MO-BDA-EHHO-VC,4,32,9,E4_MO_equal_weight_compromise
IMG_0002,101087.jpg,2,BDA-EHHO-VC-Calibrated,2,2,34,E4_singleobjective_attained_solution
IMG_0002,101087.jpg,2,BEHHO-VC-Calibrated,2,2,10,E4_singleobjective_attained_solution
IMG_0002,101087.jpg,2,EHHO-VC,2,2,17,E4_singleobjective_attained_solution
IMG_0002,101087.jpg,2,HHO-VC,2,2,17,E4_singleobjective_attained_solution
IMG_0002,101087.jpg,2,MO-BDA-EHHO-VC,3,81,32,E4_MO_equal_weight_compromise
IMG_0002,101087.jpg,3,BEHHO-VC-Calibrated,79,9,253,E4_singleobjective_attained_solution
IMG_0002,101087.jpg,3,BDA-EHHO-VC-Calibrated,61,7,144,E4_singleobjective_attained_solution
IMG_0002,101087.jpg,3,EHHO-VC,13,14,2,E4_singleobjective_attained_solution
IMG_0002,101087.jpg,3,HHO-VC,13,9,2,E4_singleobjective_attained_solution
IMG_0002,101087.jpg,3,MO-BDA-EHHO-VC,8,39,57,E4_MO_equal_weight_compromise
IMG_0002,101087.jpg,4,BEHHO-VC-Calibrated,93,13,69,E4_singleobjective_attained_solution
IMG_0002,101087.jpg,4,EHHO-VC,4,13,24,E4_singleobjective_attained_solution
IMG_0002,101087.jpg,4,HHO-VC,4,31,39,E4_singleobjective_attained_solution
IMG_0002,101087.jpg,4,BDA-EHHO-VC-Calibrated,4,7,174,E4_singleobjective_attained_solution
IMG_0002,101087.jpg,4,MO-BDA-EHHO-VC,23,29,24,E4_MO_equal_weight_compromise
IMG_0002,101087.jpg,5,HHO-VC,2,2,9,E4_singleobjective_attained_solution
IMG_0002,101087.jpg,5,BDA-EHHO-VC-Calibrated,68,2,237,E4_singleobjective_attained_solution
IMG_0002,101087.jpg,5,BEHHO-VC-Calibrated,2,2,9,E4_singleobjective_attained_solution
IMG_0002,101087.jpg,5,EHHO-VC,2,2,9,E4_singleobjective_attained_solution
IMG_0002,101087.jpg,5,MO-BDA-EHHO-VC,13,24,4,E4_MO_equal_weight_compromise
IMG_0003,102061.jpg,1,BDA-EHHO-VC-Calibrated,48,10,20,E4_singleobjective_attained_solution
IMG_0003,102061.jpg,1,HHO-VC,21,27,6,E4_singleobjective_attained_solution
IMG_0003,102061.jpg,1,BEHHO-VC-Calibrated,38,12,20,E4_singleobjective_attained_solution
IMG_0003,102061.jpg,1,EHHO-VC,19,38,4,E4_singleobjective_attained_solution
IMG_0003,102061.jpg,1,MO-BDA-EHHO-VC,50,22,75,E4_MO_equal_weight_compromise
IMG_0003,102061.jpg,2,BEHHO-VC-Calibrated,154,7,4,E4_singleobjective_attained_solution
IMG_0003,102061.jpg,2,HHO-VC,130,20,78,E4_singleobjective_attained_solution
IMG_0003,102061.jpg,2,BDA-EHHO-VC-Calibrated,8,102,84,E4_singleobjective_attained_solution
IMG_0003,102061.jpg,2,EHHO-VC,137,20,84,E4_singleobjective_attained_solution
IMG_0003,102061.jpg,2,MO-BDA-EHHO-VC,2,33,28,E4_MO_equal_weight_compromise
IMG_0003,102061.jpg,3,HHO-VC,4,2,2,E4_singleobjective_attained_solution
IMG_0003,102061.jpg,3,BEHHO-VC-Calibrated,4,2,4,E4_singleobjective_attained_solution
IMG_0003,102061.jpg,3,BDA-EHHO-VC-Calibrated,4,2,140,E4_singleobjective_attained_solution
IMG_0003,102061.jpg,3,EHHO-VC,14,2,10,E4_singleobjective_attained_solution
IMG_0003,102061.jpg,3,MO-BDA-EHHO-VC,15,32,105,E4_MO_equal_weight_compromise
IMG_0003,102061.jpg,4,BDA-EHHO-VC-Calibrated,195,166,251,E4_singleobjective_attained_solution
IMG_0003,102061.jpg,4,BEHHO-VC-Calibrated,193,4,238,E4_singleobjective_attained_solution
IMG_0003,102061.jpg,4,EHHO-VC,222,145,221,E4_singleobjective_attained_solution
IMG_0003,102061.jpg,4,HHO-VC,222,145,222,E4_singleobjective_attained_solution
IMG_0003,102061.jpg,4,MO-BDA-EHHO-VC,2,28,15,E4_MO_equal_weight_compromise
IMG_0003,102061.jpg,5,BEHHO-VC-Calibrated,2,3,2,E4_singleobjective_attained_solution
IMG_0003,102061.jpg,5,EHHO-VC,5,5,5,E4_singleobjective_attained_solution
IMG_0003,102061.jpg,5,HHO-VC,2,3,3,E4_singleobjective_attained_solution
IMG_0003,102061.jpg,5,BDA-EHHO-VC-Calibrated,5,2,2,E4_singleobjective_attained_solution
IMG_0003,102061.jpg,5,MO-BDA-EHHO-VC,3,35,24,E4_MO_equal_weight_compromise
IMG_0004,103070.jpg,1,EHHO-VC,141,3,247,E4_singleobjective_attained_solution
IMG_0004,103070.jpg,1,HHO-VC,126,3,248,E4_singleobjective_attained_solution
IMG_0004,103070.jpg,1,BEHHO-VC-Calibrated,141,44,249,E4_singleobjective_attained_solution
IMG_0004,103070.jpg,1,BDA-EHHO-VC-Calibrated,148,43,2,E4_singleobjective_attained_solution
IMG_0004,103070.jpg,1,MO-BDA-EHHO-VC,34,10,32,E4_MO_equal_weight_compromise
IMG_0004,103070.jpg,2,BDA-EHHO-VC-Calibrated,179,103,173,E4_singleobjective_attained_solution
IMG_0004,103070.jpg,2,EHHO-VC,136,86,248,E4_singleobjective_attained_solution
IMG_0004,103070.jpg,2,HHO-VC,135,86,251,E4_singleobjective_attained_solution
IMG_0004,103070.jpg,2,BEHHO-VC-Calibrated,125,24,21,E4_singleobjective_attained_solution
IMG_0004,103070.jpg,2,MO-BDA-EHHO-VC,26,46,55,E4_MO_equal_weight_compromise
IMG_0004,103070.jpg,3,EHHO-VC,240,241,213,E4_singleobjective_attained_solution
IMG_0004,103070.jpg,3,HHO-VC,241,242,213,E4_singleobjective_attained_solution
IMG_0004,103070.jpg,3,BDA-EHHO-VC-Calibrated,247,200,49,E4_singleobjective_attained_solution
IMG_0004,103070.jpg,3,BEHHO-VC-Calibrated,220,4,12,E4_singleobjective_attained_solution
IMG_0004,103070.jpg,3,MO-BDA-EHHO-VC,18,2,64,E4_MO_equal_weight_compromise
IMG_0004,103070.jpg,4,HHO-VC,2,2,2,E4_singleobjective_attained_solution
IMG_0004,103070.jpg,4,EHHO-VC,2,2,2,E4_singleobjective_attained_solution
IMG_0004,103070.jpg,4,BDA-EHHO-VC-Calibrated,43,50,2,E4_singleobjective_attained_solution
IMG_0004,103070.jpg,4,BEHHO-VC-Calibrated,2,12,2,E4_singleobjective_attained_solution
IMG_0004,103070.jpg,4,MO-BDA-EHHO-VC,130,17,7,E4_MO_equal_weight_compromise
IMG_0004,103070.jpg,5,BEHHO-VC-Calibrated,2,2,2,E4_singleobjective_attained_solution
IMG_0004,103070.jpg,5,EHHO-VC,2,2,2,E4_singleobjective_attained_solution
IMG_0004,103070.jpg,5,HHO-VC,2,2,2,E4_singleobjective_attained_solution
IMG_0004,103070.jpg,5,BDA-EHHO-VC-Calibrated,68,2,2,E4_singleobjective_attained_solution
IMG_0004,103070.jpg,5,MO-BDA-EHHO-VC,22,24,18,E4_MO_equal_weight_compromise
IMG_0005,105025.jpg,1,HHO-VC,251,3,255,E4_singleobjective_attained_solution
IMG_0005,105025.jpg,1,EHHO-VC,250,3,253,E4_singleobjective_attained_solution
IMG_0005,105025.jpg,1,BDA-EHHO-VC-Calibrated,184,3,136,E4_singleobjective_attained_solution
IMG_0005,105025.jpg,1,BEHHO-VC-Calibrated,32,2,16,E4_singleobjective_attained_solution
IMG_0005,105025.jpg,1,MO-BDA-EHHO-VC,12,17,50,E4_MO_equal_weight_compromise
IMG_0005,105025.jpg,2,BEHHO-VC-Calibrated,60,186,13,E4_singleobjective_attained_solution
IMG_0005,105025.jpg,2,BDA-EHHO-VC-Calibrated,89,130,11,E4_singleobjective_attained_solution
IMG_0005,105025.jpg,2,HHO-VC,121,127,220,E4_singleobjective_attained_solution
