experiment_id,run_index,fraction_to_90pct_final_archive,fraction_to_95pct_final_archive,fraction_to_99pct_final_archive,final_hypervolume,archive_size
IMG_0005,1,0.9,0.95,1.0,0.5906368136739756,43.0
IMG_0005,2,0.5,0.55,0.55,0.5920236489913018,27.0
IMG_0006,1,0.9,0.9,0.95,0.601552731641422,44.0
IMG_0006,2,0.75,0.75,0.75,0.6038917534138182,47.0
IMG_0015,1,0.35,0.35,0.4,0.6474936392370758,50.0
IMG_0015,2,0.25,0.25,0.25,0.6524944415116972,22.0
IMG_0034,1,0.4,0.45,0.45,0.6907927810847143,100.0
IMG_0034,2,0.3,0.3,0.3,0.6878576071212084,100.0
IMG_0063,1,0.5,0.55,0.55,0.5506821279207134,27.0
IMG_0063,2,0.75,0.8,0.9,0.5617305618273297,31.0
IMG_0065,1,0.55,0.6,0.65,0.6818761546023343,100.0
IMG_0065,2,0.9,0.95,1.0,0.6905071993862079,88.0
IMG_0067,1,0.45,0.5,0.5,0.7968634896297498,99.0
IMG_0067,2,0.3,0.35,0.35,0.8040052845267888,100.0
IMG_0076,1,0.9,1.0,1.0,0.6457955809881009,76.0
IMG_0076,2,0.85,0.9,1.0,0.6462084770802798,91.0
IMG_0078,1,0.9,0.95,1.0,0.645473488683404,90.0
IMG_0078,2,0.8,0.9,1.0,0.6518958786708473,70.0
IMG_0082,1,0.6,0.65,0.7,0.7398507258434639,100.0
IMG_0082,2,0.65,0.65,0.7,0.7187807992865843,100.0
IMG_0090,1,0.3,0.35,0.35,0.7362126690218626,100.0
IMG_0090,2,0.5,0.5,0.55,0.7413641296842964,100.0
IMG_0093,1,0.85,0.95,1.0,0.7583880730084256,90.0
IMG_0093,2,0.2,0.2,0.2,0.7612070129262338,100.0
