relative_path,filename,extension,parent_folder,split,dataset_hint,size_bytes,size_mb,sha256,hash_error,is_image_extension
BSR\bench\bench_bsds500.m,bench_bsds500.m,.m,BSR\bench,unspecified,BSDS500,352,0.000336,9d0cdafebfe942d38863b0298d2fdad2a64d05bf5a6846eef3e1cd1c680bc677,,False
BSR\bench\benchmarks\allBench.m,allBench.m,.m,BSR\bench\benchmarks,unspecified,Unknown / custom,2103,0.002006,2f785bdd4360dc2090a434663a64fbc712009ccb720001c45f6009564d8fa119,,False
BSR\bench\benchmarks\boundaryBench.m,boundaryBench.m,.m,BSR\bench\benchmarks,unspecified,Unknown / custom,2003,0.00191,3228c6370978418cc8b782deb2aca6dbce97c395fca4e61cb1e853930bfb1367,,False
BSR\bench\benchmarks\collect_eval_bdry.m,collect_eval_bdry.m,.m,BSR\bench\benchmarks,unspecified,Unknown / custom,4045,0.003858,728025ab9d112c0bf8a9e585fdfa683a55085afe5fdb1d3b757adc461ba81c47,,False
BSR\bench\benchmarks\collect_eval_reg.m,collect_eval_reg.m,.m,BSR\bench\benchmarks,unspecified,Unknown / custom,4112,0.003922,a4fc52b3d5a56a08b54a9cbac418cc32bfae5c1faef3244ddfe0dd6c70772e3c,,False
BSR\bench\benchmarks\correspondPixels.m,correspondPixels.m,.m,BSR\bench\benchmarks,unspecified,Unknown / custom,1637,0.001561,fb0ed327ecff85953bf5bd1f7692db984fe204687c00b62595b1356a058a61b6,,False
BSR\bench\benchmarks\correspondPixels.mexa64,correspondPixels.mexa64,.mexa64,BSR\bench\benchmarks,unspecified,Unknown / custom,112617,0.1074,80d098b3ad84abd96ed32b70e7047129580237ea8c23fb02d6e221b5cfb46e45,,False
BSR\bench\benchmarks\create_isoF_figure.m,create_isoF_figure.m,.m,BSR\bench\benchmarks,unspecified,Unknown / custom,581,0.000554,f481d252f64e913bb835c71121d0c39b6a5d74d875e55045a0cdbaa36b5f8b0d,,False
BSR\bench\benchmarks\evaluation_bdry_image.m,evaluation_bdry_image.m,.m,BSR\bench\benchmarks,unspecified,Unknown / custom,3072,0.00293,01117b67af3f58a838db1b788677641d3592495452f1eb5d3318cf0792763dd4,,False
BSR\bench\benchmarks\evaluation_reg_image.m,evaluation_reg_image.m,.m,BSR\bench\benchmarks,unspecified,Unknown / custom,3793,0.003617,7dc3b26633fb583f362b4f58d5f99b48f593557867c6a9444b7e4e38ba0f138b,,False
BSR\bench\benchmarks\isoF.fig,isoF.fig,.fig,BSR\bench\benchmarks,unspecified,Unknown / custom,98491,0.093928,73b0977fc83e8d52e24907c7d0b67a95380f994c5b24272d27dd2b9185ac7d76,,False
BSR\bench\benchmarks\match_segmentations.m,match_segmentations.m,.m,BSR\bench\benchmarks,unspecified,Unknown / custom,1195,0.00114,e30c6992a6da1ec5754e156afa4cb6b0d5608afa2b537d1e457e5a0a0a1ab893,,False
BSR\bench\benchmarks\match_segmentations2.m,match_segmentations2.m,.m,BSR\bench\benchmarks,unspecified,Unknown / custom,1758,0.001677,4964662b41afdeba8e489a5514810c86bb0039634949c9bc81acd53c0fc439e5,,False
BSR\bench\benchmarks\plot_eval.m,plot_eval.m,.m,BSR\bench\benchmarks,unspecified,Unknown / custom,1467,0.001399,3802d6b9d82b87261ddf9430edb52a1cfa93bbc75c292418c49f6b4505c3f65a,,False
BSR\bench\benchmarks\regionBench.m,regionBench.m,.m,BSR\bench\benchmarks,unspecified,Unknown / custom,1671,0.001594,1de79be28bb2ed0f9841319bbd1dfe99c641845cf43370a746b19e61b646b654,,False
BSR\bench\benchmarks\seg2bdry.m,seg2bdry.m,.m,BSR\bench\benchmarks,unspecified,Unknown / custom,957,0.000913,0da438ef962a1fb07fdfc2dda7f1ec2341e49a91dcac51414fcb690a48e931e1,,False
BSR\bench\data\groundTruth\2018.mat,2018.mat,.mat,BSR\bench\data\groundTruth,unspecified,Unknown / custom,43462,0.041449,0ce9b9c37a51d8bfc19df82906943d26a395a73e373da480acfe6c49e0f5e1ff,,False
BSR\bench\data\groundTruth\3063.mat,3063.mat,.mat,BSR\bench\data\groundTruth,unspecified,Unknown / custom,35178,0.033548,7c647de04b0a9aa182648a886dda18e907dd58aef5e2eae1282784ce053f800e,,False
BSR\bench\data\groundTruth\5096.mat,5096.mat,.mat,BSR\bench\data\groundTruth,unspecified,Unknown / custom,41515,0.039592,ae7d07418a30bc7b4f63f25ee03df47c93a9ed10aa70249b1b3409c1c989ddeb,,False
BSR\bench\data\groundTruth\6046.mat,6046.mat,.mat,BSR\bench\data\groundTruth,unspecified,Unknown / custom,46750,0.044584,9e3188ca12c7e368866cffa5c2cd5642aeda0e77dd4485309c829e4b970fd5c1,,False
BSR\bench\data\groundTruth\8068.mat,8068.mat,.mat,BSR\bench\data\groundTruth,unspecified,Unknown / custom,33815,0.032248,ec151ff3c01ae38d6f69359a8994a7d3353c5fce6e8bd07e977aa0979dee47f3,,False
BSR\bench\data\images\2018.jpg,2018.jpg,.jpg,BSR\bench\data\images,unspecified,Unknown / custom,75004,0.071529,181f54d5dc7c77222c5c9992289c885f38156fcae91df8e25c2dda2d3f810b00,,True
