experiment_id,dataset,split,filename,channel,correlation_mode,share_aggregation,best_NX,best_objective
IMG_0027,BSDS500,validation,16077.jpg,R,signed_cc,share1,4,5.028232648021232
IMG_0027,BSDS500,validation,16077.jpg,R,signed_cc,share2,22,5.035722474995055
IMG_0027,BSDS500,validation,16077.jpg,R,signed_cc,mean,7,5.035576253875608
IMG_0027,BSDS500,validation,16077.jpg,R,signed_cc,max,168,5.038052485259995
IMG_0027,BSDS500,validation,16077.jpg,R,abs_cc,share1,4,5.030109474136109
IMG_0027,BSDS500,validation,16077.jpg,R,abs_cc,share2,22,5.035722474995055
IMG_0027,BSDS500,validation,16077.jpg,R,abs_cc,mean,16,5.0360563320542155
IMG_0027,BSDS500,validation,16077.jpg,R,abs_cc,max,168,5.038052485259995
IMG_0027,BSDS500,validation,16077.jpg,G,signed_cc,share1,180,5.077599122528598
IMG_0027,BSDS500,validation,16077.jpg,G,signed_cc,share2,35,5.082379919092953
IMG_0027,BSDS500,validation,16077.jpg,G,signed_cc,mean,106,5.081384324249001
IMG_0027,BSDS500,validation,16077.jpg,G,signed_cc,max,77,5.083293829127559
IMG_0027,BSDS500,validation,16077.jpg,G,abs_cc,share1,204,5.085505543065256
IMG_0027,BSDS500,validation,16077.jpg,G,abs_cc,share2,35,5.088378691829679
IMG_0027,BSDS500,validation,16077.jpg,G,abs_cc,mean,204,5.087967607016013
IMG_0027,BSDS500,validation,16077.jpg,G,abs_cc,max,106,5.089046741765929
IMG_0027,BSDS500,validation,16077.jpg,B,signed_cc,share1,242,4.979031658015493
IMG_0027,BSDS500,validation,16077.jpg,B,signed_cc,share2,155,4.983419065321017
IMG_0027,BSDS500,validation,16077.jpg,B,signed_cc,mean,248,4.984216620424357
IMG_0027,BSDS500,validation,16077.jpg,B,signed_cc,max,192,4.986377533972142
IMG_0027,BSDS500,validation,16077.jpg,B,abs_cc,share1,227,4.98133601039361
IMG_0027,BSDS500,validation,16077.jpg,B,abs_cc,share2,155,4.983419065321017
IMG_0027,BSDS500,validation,16077.jpg,B,abs_cc,mean,248,4.985376000015709
IMG_0027,BSDS500,validation,16077.jpg,B,abs_cc,max,192,4.986377533972142
IMG_0087,BSDS500,validation,66053.jpg,R,signed_cc,share1,77,4.920509656288466
IMG_0087,BSDS500,validation,66053.jpg,R,signed_cc,share2,17,4.9126651804729455
IMG_0087,BSDS500,validation,66053.jpg,R,signed_cc,mean,18,4.918279495082766
IMG_0087,BSDS500,validation,66053.jpg,R,signed_cc,max,77,4.920509656288466
IMG_0087,BSDS500,validation,66053.jpg,R,abs_cc,share1,77,4.920509656288466
IMG_0087,BSDS500,validation,66053.jpg,R,abs_cc,share2,17,4.9126651804729455
IMG_0087,BSDS500,validation,66053.jpg,R,abs_cc,mean,18,4.918279495082766
IMG_0087,BSDS500,validation,66053.jpg,R,abs_cc,max,77,4.920509656288466
IMG_0087,BSDS500,validation,66053.jpg,G,signed_cc,share1,3,4.897888449221239
IMG_0087,BSDS500,validation,66053.jpg,G,signed_cc,share2,234,4.915494298369346
IMG_0087,BSDS500,validation,66053.jpg,G,signed_cc,mean,240,4.910991988914261
IMG_0087,BSDS500,validation,66053.jpg,G,signed_cc,max,234,4.915494298369346
IMG_0087,BSDS500,validation,66053.jpg,G,abs_cc,share1,3,4.90292467690196
IMG_0087,BSDS500,validation,66053.jpg,G,abs_cc,share2,234,4.915494298369346
IMG_0087,BSDS500,validation,66053.jpg,G,abs_cc,mean,240,4.91156759589716
IMG_0087,BSDS500,validation,66053.jpg,G,abs_cc,max,234,4.915494298369346
IMG_0087,BSDS500,validation,66053.jpg,B,signed_cc,share1,102,4.278633637637417
IMG_0087,BSDS500,validation,66053.jpg,B,signed_cc,share2,5,4.266323763472584
IMG_0087,BSDS500,validation,66053.jpg,B,signed_cc,mean,97,4.279006979295243
IMG_0087,BSDS500,validation,66053.jpg,B,signed_cc,max,102,4.279820468125296
IMG_0087,BSDS500,validation,66053.jpg,B,abs_cc,share1,102,4.278633637637417
IMG_0087,BSDS500,validation,66053.jpg,B,abs_cc,share2,5,4.266323763472584
IMG_0087,BSDS500,validation,66053.jpg,B,abs_cc,mean,97,4.279006979295243
IMG_0087,BSDS500,validation,66053.jpg,B,abs_cc,max,102,4.279820468125296
IMG_0169,BSDS500,test,183066.jpg,R,signed_cc,share1,13,4.852532617253898
IMG_0169,BSDS500,test,183066.jpg,R,signed_cc,share2,35,4.834826142054031
IMG_0169,BSDS500,test,183066.jpg,R,signed_cc,mean,81,4.845906032442459
IMG_0169,BSDS500,test,183066.jpg,R,signed_cc,max,13,4.852532617253898
IMG_0169,BSDS500,test,183066.jpg,R,abs_cc,share1,13,4.8584471220652805
IMG_0169,BSDS500,test,183066.jpg,R,abs_cc,share2,35,4.848451525433851
IMG_0169,BSDS500,test,183066.jpg,R,abs_cc,mean,19,4.854745199499159
IMG_0169,BSDS500,test,183066.jpg,R,abs_cc,max,13,4.8584471220652805
IMG_0169,BSDS500,test,183066.jpg,G,signed_cc,share1,2,4.930445416300657
IMG_0169,BSDS500,test,183066.jpg,G,signed_cc,share2,2,4.933272558694104
IMG_0169,BSDS500,test,183066.jpg,G,signed_cc,mean,2,4.93185898749738
IMG_0169,BSDS500,test,183066.jpg,G,signed_cc,max,2,4.933272558694104
IMG_0169,BSDS500,test,183066.jpg,G,abs_cc,share1,2,4.938329890911039
IMG_0169,BSDS500,test,183066.jpg,G,abs_cc,share2,2,4.940779738160361
IMG_0169,BSDS500,test,183066.jpg,G,abs_cc,mean,2,4.9395548145357004
IMG_0169,BSDS500,test,183066.jpg,G,abs_cc,max,2,4.940779738160361
IMG_0169,BSDS500,test,183066.jpg,B,signed_cc,share1,178,5.060184124144815
IMG_0169,BSDS500,test,183066.jpg,B,signed_cc,share2,4,5.076900205908565
