folder,total_files,image_files,total_size_mb,extensions,splits,dataset_hints
BSR\BSDS500\data\images\test,201,200,14.727,.db; .jpg,test,BSDS500
BSR\BSDS500\data\images\train,201,200,13.884,.db; .jpg,train,BSDS500
BSR\BSDS500\data\images\val,101,100,7.347,.db; .jpg,val,BSDS500
misc,39,39,13.38,.tiff,unspecified,Unknown / custom
BSR\bench\data\images,5,5,0.318,.jpg,unspecified,Unknown / custom
BSR\bench\data\png,5,5,0.098,.png,unspecified,Unknown / custom
BSR\BSDS500\data\groundTruth\test,200,0,8.684,.mat,test,BSDS500
BSR\BSDS500\data\groundTruth\train,200,0,8.614,.mat,train,BSDS500
BSR\BSDS500\data\groundTruth\val,100,0,4.318,.mat,val,BSDS500
BSR\bench\source,26,0,0.179,.cc; .h; .hh; .m; .sh; [no extension],unspecified,Unknown / custom
BSR\bench\benchmarks,15,0,0.228,.fig; .m; .mexa64,unspecified,Unknown / custom
BSR\bench\data\test_1,8,0,0.001,.txt,unspecified,Unknown / custom
BSR\bench\data\test_4,8,0,0.001,.txt,unspecified,Unknown / custom
BSR\bench\data\groundTruth,5,0,0.191,.mat,unspecified,Unknown / custom
BSR\bench\data\segs,5,0,0.077,.mat,unspecified,Unknown / custom
BSR\bench\data\test_5,5,0,0.001,.txt,unspecified,Unknown / custom
BSR\bench\data\ucm2,5,0,1.12,.mat,unspecified,Unknown / custom
BSR\bench\data\test_2,3,0,0.001,.txt,unspecified,Unknown / custom
BSR\bench\data\test_3,3,0,0.001,.txt,unspecified,Unknown / custom
BSR\bench,2,0,0.002,.m,unspecified,BSDS500; Unknown / custom
.,1,0,70.889,.tar,unspecified,BSDS500
BSR\documentation,1,0,10.268,.pdf,unspecified,Unknown / custom
