relative_path,filename,parent_folder,split,dataset_hint,format,extension,width,height,megapixels,aspect_ratio,mode,channels,bit_depth,size_bytes,size_mb,sha256,status
BSR\bench\data\images\2018.jpg,2018.jpg,BSR\bench\data\images,unspecified,Unknown / custom,JPEG,.jpg,321,481,0.154401,0.66736,RGB,3,8-bit/channel,75004,0.071529,181f54d5dc7c77222c5c9992289c885f38156fcae91df8e25c2dda2d3f810b00,OK
BSR\bench\data\images\3063.jpg,3063.jpg,BSR\bench\data\images,unspecified,Unknown / custom,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,47609,0.045403,b98bff045cc2fca3011e11d437b11e9ad564c305f5e75aeed8cf1e99b23d2076,OK
BSR\bench\data\images\5096.jpg,5096.jpg,BSR\bench\data\images,unspecified,Unknown / custom,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,71961,0.068627,036eeb42cc04fea9f0bd7c3c19343e0c3e66b74c979e74829331e4a832ae7810,OK
BSR\bench\data\images\6046.jpg,6046.jpg,BSR\bench\data\images,unspecified,Unknown / custom,JPEG,.jpg,321,481,0.154401,0.66736,RGB,3,8-bit/channel,84493,0.080579,3db99e079df3ee618560d840d02dbf124e35d06461058b4f88688b7334cbe098,OK
BSR\bench\data\images\8068.jpg,8068.jpg,BSR\bench\data\images,unspecified,Unknown / custom,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,54207,0.051696,160faa4e5a1ce7428bc03e12c4d5b12b2780e8955de2210b7e91421d662911d5,OK
BSR\bench\data\png\2018.png,2018.png,BSR\bench\data\png,unspecified,Unknown / custom,PNG,.png,321,481,0.154401,0.66736,L,1,8-bit/channel,19887,0.018966,2d87be617d07ace5d174abc8dd4ce8b541df4a5c168679d3b9ef9c68bb482ce7,OK
BSR\bench\data\png\3063.png,3063.png,BSR\bench\data\png,unspecified,Unknown / custom,PNG,.png,481,321,0.154401,1.498442,L,1,8-bit/channel,18004,0.01717,7d6a07ed93676532e6ea98b5179859b9edc09da29412893436b726e68197bd27,OK
BSR\bench\data\png\5096.png,5096.png,BSR\bench\data\png,unspecified,Unknown / custom,PNG,.png,481,321,0.154401,1.498442,L,1,8-bit/channel,19944,0.01902,f5a355c1a7365e360a8763bb117758279d2fbb8d50e7a96e472d9813d248c54e,OK
BSR\bench\data\png\6046.png,6046.png,BSR\bench\data\png,unspecified,Unknown / custom,PNG,.png,321,481,0.154401,0.66736,L,1,8-bit/channel,25334,0.02416,3b729c6278237df3c7022320e1f88bb8474deff5bf463d73bcca7a6d55f21c09,OK
BSR\bench\data\png\8068.png,8068.png,BSR\bench\data\png,unspecified,Unknown / custom,PNG,.png,481,321,0.154401,1.498442,L,1,8-bit/channel,19564,0.018658,76fac93bef3ed45da792bd548dc85626182395906837deef8a4ac41fceb56c54,OK
BSR\BSDS500\data\images\test\100007.jpg,100007.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,51501,0.049115,464449ecba30a5a5c229c0133059c83b034e9000bd1d7752a189a8cf21182bf9,OK
BSR\BSDS500\data\images\test\100039.jpg,100039.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,93775,0.089431,418366bbb4f0f4c2200b93e8bda153ab84809fe873a371b32e7cc36c2d091cc3,OK
