oa_rank,title,doi,relevance_tier,novelty_threat,overlap_score,reason,local_pdf
1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,10.58346/jowua.2025.i1.009,CORE,HIGH,51.1,methods_section_not_detected; high_novelty_overlap_requires_full_manual_read,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\001_2025_Image_Encryption_Using_Modified_Serpent_Algorithm_and_Harris_Hawks_Optimization.pdf
2,Retraction Note: EEG channel selection in CIT: a binary Harris Hawks optimization using a time-varying transfer function,10.1007/s00500-024-10101-w,EXCLUDE,LOW,4.4,abstract_not_detected; conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\002_2024_Retraction_Note_EEG_channel_selection_in_CIT_a_binary_Harris_Hawks_optimization_using_a_time-varying_transfer_function.pdf
3,Feature selection using binary Harris Hawks optimization algorithm to improve K-Means clustering,10.19139/soic-2310-5070-2653,METHOD,LOW,28.9,conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\003_2025_Feature_selection_using_binary_Harris_Hawks_optimization_algorithm_to_improve_K-Means_clustering.pdf
4,Dynamic Complex Protein Detection using Binary Harris Hawks Optimization,10.1088/1742-6596/1642/1/012019,METHOD,LOW,31.1,conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\004_2020_Dynamic_Complex_Protein_Detection_using_Binary_Harris_Hawks_Optimization.pdf
6,Feature Selection and Classification of Microarray Datasets Based on an Improved Binary Harris Hawks Optimization Algorithm,10.14569/ijacsa.2025.0160884,METHOD,LOW,33.3,abstract_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\006_2025_Feature_Selection_and_Classification_of_Microarray_Datasets_Based_on_an_Improved_Binary_Harris_Hawks_Optimization_Algorithm.pdf
7,An efficient binary harris hawks optimization based on quantum SVM for cancer classification tasks,10.1049/icp.2021.2680,METHOD,LOW,28.9,optimizer_detected_but_fitness_function_not_extracted,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\007_2022_An_efficient_binary_harris_hawks_optimization_based_on_quantum_SVM_for_cancer_classification_tasks.pdf
9,An Efficient Binary Harris Hawks Optimization based on Quantum SVM for Cancer Classification Tasks,,METHOD,LOW,28.9,optimizer_detected_but_fitness_function_not_extracted,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\009_2022_An_Efficient_Binary_Harris_Hawks_Optimization_based_on_Quantum_SVM_for_Cancer_Classification_Tasks.pdf
10,Grouped k-threshold random grid-based visual cryptography scheme,10.48550/arxiv.2508.05394,CORE,LOW,31.1,methods_section_not_detected; conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\010_2025_Grouped_k-threshold_random_grid-based_visual_cryptography_scheme.pdf
12,Lossless Recovery Scheme for Grayscale Visual Cryptography Based on Random Grids,10.52783/jisem.v10i22s.3613,CORE,LOW,35.6,optimizer_detected_but_fitness_function_not_extracted,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\012_2025_Lossless_Recovery_Scheme_for_Grayscale_Visual_Cryptography_Based_on_Random_Grids.pdf
15,Text encryption using Sosemanuk and Harris Hawks optimization by laser communication,10.1038/s41598-026-49137-3,METHOD,LOW,26.7,optimizer_detected_but_fitness_function_not_extracted,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\015_2026_Text_encryption_using_Sosemanuk_and_Harris_Hawks_optimization_by_laser_communication.pdf
16,A Narrative Study on Visual Cryptography Techniques for Robust and Secure Image Communication: A Review,10.70389/pjs.100156,CORE,HIGH,55.6,high_novelty_overlap_requires_full_manual_read,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\016_2025_A_Narrative_Study_on_Visual_Cryptography_Techniques_for_Robust_and_Secure_Image_Communication_A_Review.pdf
18,A Hybrid Logistic Regression Model with Harris Hawks Optimization (HHO) Algorithm of Hypertension Determinants among Iraqi Adults,10.33899/jes.v35i2.53624,METHOD,LOW,15.6,conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\018_2026_A_Hybrid_Logistic_Regression_Model_with_Harris_Hawks_Optimization_(HHO)_Algorithm_of_Hypertension_Determinants_among_Iraqi_Ad.pdf
20,Optimized Wavelet-Based Satellite Image De-Noising With Multi-Population Differential Evolution-Assisted Harris Hawks Optimization Algorithm,10.1109/access.2020.3010127,METHOD,LOW,13.3,conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\020_2020_Optimized_Wavelet-Based_Satellite_Image_De-Noising_With_Multi-Population_Differential_Evolution-Assisted_Harris_Hawks_Optimiz.pdf
22,Harmonic Overloading Minimization of Frequency-Dependent Components in Harmonics Polluted Distribution Systems Using Harris Hawks Optimization Algorithm,10.1109/access.2019.2930831,METHOD,LOW,15.6,conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\022_2019_Harmonic_Overloading_Minimization_of_Frequency-Dependent_Components_in_Harmonics_Polluted_Distribution_Systems_Using_Harris_H.pdf
25,Correction to: A hybrid parallel Harris hawks optimization algorithm for reusable launch vehicle reentry trajectory optimization with no-fly zones,10.1007/s00500-021-06287-y,EXCLUDE,LOW,11.1,abstract_not_detected; conclusion_section_not_detected; optimizer_detected_but_fitness_function_not_extracted,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\025_2021_Correction_to_A_hybrid_parallel_Harris_hawks_optimization_algorithm_for_reusable_launch_vehicle_reentry_trajectory_optimizati.pdf
26,"A Novel Integration of Proximal Policy Optimization, In-Memory Computing and Visual Cryptography for Secure Image Encryption",10.55248/gengpi.6.0625.22135,CORE,LOW,8.9,conclusion_section_not_detected,"D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\026_2025_A_Novel_Integration_of_Proximal_Policy_Optimization,_In-Memory_Computing_and_Visual_Cryptography_for_Secure_Image_Encryption.pdf"
27,An efficient load balancing in cloud computing using hybrid Harris hawks optimization and cuckoo search algorithm,10.19101/ijatee.2022.10100466,METHOD,LOW,15.6,conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\027_2023_An_efficient_load_balancing_in_cloud_computing_using_hybrid_Harris_hawks_optimization_and_cuckoo_search_algorithm.pdf
28,Comparison of k-Nearest Neighbor and Support Vector Machine using Binary Dragonfly Algorithm Optimization,10.32520/stmsi.v13i1.2953,METHOD,LOW,11.1,conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\028_2024_Comparison_of_k-Nearest_Neighbor_and_Support_Vector_Machine_using_Binary_Dragonfly_Algorithm_Optimization.pdf
