run_key,mechanism,variant,experiment_id,filename,run_index,population_size,evaluation_budget,seed,best_score,level_R,level_G,level_B,evaluations,runtime_s,diversity_threshold,injection_fraction,injection_count,mean_diversity,final_diversity,rho_max,rho_min,bda_proposals,ehho_proposals,bda_fraction
BEHHO|IMG_0005|r1|thr0.70_frac0.20,BEHHO,thr0.70_frac0.20,IMG_0005,105025.jpg,1,20,400,987927628,4.615607962009524,2,2,3,400,20.703248400008306,0.7,0.2,7,0.731375,0.7179166666666666,,,,,
BEHHO|IMG_0005|r1|thr0.70_frac0.30,BEHHO,thr0.70_frac0.30,IMG_0005,105025.jpg,1,20,400,987927628,4.614739288874254,2,2,6,400,20.680788600002415,0.7,0.3,4,0.7743333333333333,0.7395833333333334,,,,,
BEHHO|IMG_0005|r1|thr0.75_frac0.20,BEHHO,thr0.75_frac0.20,IMG_0005,105025.jpg,1,20,400,987927628,4.615693929578865,2,2,5,400,20.3995111999684,0.75,0.2,11,0.7438541666666667,0.75875,,,,,
BEHHO|IMG_0005|r1|thr0.75_frac0.30,BEHHO,thr0.75_frac0.30,IMG_0005,105025.jpg,1,20,400,987927628,4.614739288874254,2,2,6,400,20.943357300013304,0.75,0.3,7,0.7605833333333334,0.4679166666666667,,,,,
BEHHO|IMG_0005|r1|thr0.80_frac0.20,BEHHO,thr0.80_frac0.20,IMG_0005,105025.jpg,1,20,400,987927628,4.615693929578865,2,2,5,400,21.85774720000336,0.8,0.2,11,0.7438541666666667,0.75875,,,,,
BEHHO|IMG_0005|r1|thr0.80_frac0.30,BEHHO,thr0.80_frac0.30,IMG_0005,105025.jpg,1,20,400,987927628,4.615614506312684,4,2,6,400,21.546321899979375,0.8,0.3,6,0.8020416666666665,0.6774999999999999,,,,,
HYBRID|IMG_0005|r1|balanced_80_20,HYBRID,balanced_80_20,IMG_0005,105025.jpg,1,20,400,987927628,4.616453699363155,2,169,142,400,21.107422100030817,,,,,,0.8,0.2,98,102,0.49
HYBRID|IMG_0005|r1|balanced_70_30,HYBRID,balanced_70_30,IMG_0005,105025.jpg,1,20,400,987927628,4.615642952106595,2,2,213,400,21.37564129999373,,,,,,0.7,0.3,90,110,0.45
HYBRID|IMG_0005|r1|balanced_65_35,HYBRID,balanced_65_35,IMG_0005,105025.jpg,1,20,400,987927628,4.616669268233452,2,68,212,400,21.00421759998426,,,,,,0.65,0.35,99,101,0.495
BEHHO|IMG_0005|r2|thr0.70_frac0.20,BEHHO,thr0.70_frac0.20,IMG_0005,105025.jpg,2,20,400,529390759,4.612660821968706,25,3,3,400,20.969910399988294,0.7,0.2,0,0.9204375,0.9220833333333333,,,,,
BEHHO|IMG_0005|r2|thr0.70_frac0.30,BEHHO,thr0.70_frac0.30,IMG_0005,105025.jpg,2,20,400,529390759,4.612660821968706,25,3,3,400,21.648126699961722,0.7,0.3,0,0.9204375,0.9220833333333333,,,,,
BEHHO|IMG_0005|r2|thr0.75_frac0.20,BEHHO,thr0.75_frac0.20,IMG_0005,105025.jpg,2,20,400,529390759,4.612660821968706,25,3,3,400,35.77384029998211,0.75,0.2,0,0.9204375,0.9220833333333333,,,,,
BEHHO|IMG_0005|r2|thr0.75_frac0.30,BEHHO,thr0.75_frac0.30,IMG_0005,105025.jpg,2,20,400,529390759,4.612660821968706,25,3,3,400,59.73977529996773,0.75,0.3,0,0.9204375,0.9220833333333333,,,,,
BEHHO|IMG_0005|r2|thr0.80_frac0.20,BEHHO,thr0.80_frac0.20,IMG_0005,105025.jpg,2,20,400,529390759,4.612660821968706,25,3,3,400,63.55839169997489,0.8,0.2,0,0.9204375,0.9220833333333333,,,,,
BEHHO|IMG_0005|r2|thr0.80_frac0.30,BEHHO,thr0.80_frac0.30,IMG_0005,105025.jpg,2,20,400,529390759,4.612660821968706,25,3,3,400,44.83287440001732,0.8,0.3,0,0.9204375,0.9220833333333333,,,,,
HYBRID|IMG_0005|r2|balanced_80_20,HYBRID,balanced_80_20,IMG_0005,105025.jpg,2,20,400,529390759,4.614075063609033,4,3,106,400,45.91627220000373,,,,,,0.8,0.2,106,94,0.53
HYBRID|IMG_0005|r2|balanced_70_30,HYBRID,balanced_70_30,IMG_0005,105025.jpg,2,20,400,529390759,4.6126904598571095,33,3,7,400,45.88526600005571,,,,,,0.7,0.3,88,112,0.44
HYBRID|IMG_0005|r2|balanced_65_35,HYBRID,balanced_65_35,IMG_0005,105025.jpg,2,20,400,529390759,4.613451186786675,34,3,243,400,51.45890710002277,,,,,,0.65,0.35,89,111,0.445
BEHHO|IMG_0006|r1|thr0.70_frac0.20,BEHHO,thr0.70_frac0.20,IMG_0006,106024.jpg,1,20,400,1410984088,4.707918501349213,2,234,20,400,57.69486099999631,0.7,0.2,1,0.8362708333333332,0.6970833333333334,,,,,
BEHHO|IMG_0006|r1|thr0.70_frac0.30,BEHHO,thr0.70_frac0.30,IMG_0006,106024.jpg,1,20,400,1410984088,4.707918501349213,2,234,20,400,56.60246720002033,0.7,0.3,1,0.8397500000000001,0.8420833333333334,,,,,
BEHHO|IMG_0006|r1|thr0.75_frac0.20,BEHHO,thr0.75_frac0.20,IMG_0006,106024.jpg,1,20,400,1410984088,4.707567401493722,2,249,9,400,57.89970090001589,0.75,0.2,4,0.8368958333333334,0.9416666666666668,,,,,
BEHHO|IMG_0006|r1|thr0.75_frac0.30,BEHHO,thr0.75_frac0.30,IMG_0006,106024.jpg,1,20,400,1410984088,4.707327384981934,2,48,9,400,57.389532100001816,0.75,0.3,4,0.7898958333333334,0.6579166666666667,,,,,
BEHHO|IMG_0006|r1|thr0.80_frac0.20,BEHHO,thr0.80_frac0.20,IMG_0006,106024.jpg,1,20,400,1410984088,4.707715477677971,2,8,13,400,57.04782300000079,0.8,0.2,6,0.8321875000000001,0.8808333333333334,,,,,
BEHHO|IMG_0006|r1|thr0.80_frac0.30,BEHHO,thr0.80_frac0.30,IMG_0006,106024.jpg,1,20,400,1410984088,4.70792833657498,2,8,8,400,55.25492740003392,0.8,0.3,7,0.8024583333333333,0.5604166666666667,,,,,
HYBRID|IMG_0006|r1|balanced_80_20,HYBRID,balanced_80_20,IMG_0006,106024.jpg,1,20,400,1410984088,4.708352468038751,2,115,128,400,57.432548800017685,,,,,,0.8,0.2,97,103,0.485
HYBRID|IMG_0006|r1|balanced_70_30,HYBRID,balanced_70_30,IMG_0006,106024.jpg,1,20,400,1410984088,4.708326992379559,2,34,35,400,59.78819389996352,,,,,,0.7,0.3,90,110,0.45
HYBRID|IMG_0006|r1|balanced_65_35,HYBRID,balanced_65_35,IMG_0006,106024.jpg,1,20,400,1410984088,4.7084060808301835,2,111,135,400,58.442518699972425,,,,,,0.65,0.35,100,100,0.5
BEHHO|IMG_0006|r2|thr0.70_frac0.20,BEHHO,thr0.70_frac0.20,IMG_0006,106024.jpg,2,20,400,902949870,4.703135961939693,52,46,217,400,61.89366609998979,0.7,0.2,0,0.8622291666666667,0.8108333333333334,,,,,
BEHHO|IMG_0006|r2|thr0.70_frac0.30,BEHHO,thr0.70_frac0.30,IMG_0006,106024.jpg,2,20,400,902949870,4.703135961939693,52,46,217,400,61.107952199992724,0.7,0.3,0,0.8622291666666667,0.8108333333333334,,,,,
BEHHO|IMG_0006|r2|thr0.75_frac0.20,BEHHO,thr0.75_frac0.20,IMG_0006,106024.jpg,2,20,400,902949870,4.703135961939693,52,46,217,400,58.49741549999453,0.75,0.2,0,0.8622291666666667,0.8108333333333334,,,,,
BEHHO|IMG_0006|r2|thr0.75_frac0.30,BEHHO,thr0.75_frac0.30,IMG_0006,106024.jpg,2,20,400,902949870,4.703135961939693,52,46,217,400,61.36528799997177,0.75,0.3,0,0.8622291666666667,0.8108333333333334,,,,,
BEHHO|IMG_0006|r2|thr0.80_frac0.20,BEHHO,thr0.80_frac0.20,IMG_0006,106024.jpg,2,20,400,902949870,4.703135961939693,52,46,217,400,60.835770200006664,0.8,0.2,0,0.8622291666666667,0.8108333333333334,,,,,
BEHHO|IMG_0006|r2|thr0.80_frac0.30,BEHHO,thr0.80_frac0.30,IMG_0006,106024.jpg,2,20,400,902949870,4.703135961939693,52,46,217,400,61.533885000040755,0.8,0.3,0,0.8622291666666667,0.8108333333333334,,,,,
HYBRID|IMG_0006|r2|balanced_80_20,HYBRID,balanced_80_20,IMG_0006,106024.jpg,2,20,400,902949870,4.702765496571788,129,64,11,400,60.735724200028926,,,,,,0.8,0.2,91,109,0.455
HYBRID|IMG_0006|r2|balanced_70_30,HYBRID,balanced_70_30,IMG_0006,106024.jpg,2,20,400,902949870,4.703197131971566,7,46,2,400,58.318525700015016,,,,,,0.7,0.3,89,111,0.445
HYBRID|IMG_0006|r2|balanced_65_35,HYBRID,balanced_65_35,IMG_0006,106024.jpg,2,20,400,902949870,4.703303679542628,66,67,2,400,60.208603199978825,,,,,,0.65,0.35,100,100,0.5
BEHHO|IMG_0015|r1|thr0.70_frac0.20,BEHHO,thr0.70_frac0.20,IMG_0015,130026.jpg,1,20,400,1025604623,4.885545658632018,95,255,255,400,59.799253800010774,0.7,0.2,3,0.8124999999999998,0.6425,,,,,
BEHHO|IMG_0015|r1|thr0.70_frac0.30,BEHHO,thr0.70_frac0.30,IMG_0015,130026.jpg,1,20,400,1025604623,4.885680193200585,95,127,255,400,60.95231150003383,0.7,0.3,8,0.7306458333333332,0.6929166666666666,,,,,
BEHHO|IMG_0015|r1|thr0.75_frac0.20,BEHHO,thr0.75_frac0.20,IMG_0015,130026.jpg,1,20,400,1025604623,4.885545658632018,95,255,255,400,60.03468480001902,0.75,0.2,6,0.8003541666666667,0.7004166666666666,,,,,
BEHHO|IMG_0015|r1|thr0.75_frac0.30,BEHHO,thr0.75_frac0.30,IMG_0015,130026.jpg,1,20,400,1025604623,4.885587462969855,93,255,255,400,59.586596700013615,0.75,0.3,10,0.7101458333333331,0.6766666666666666,,,,,
BEHHO|IMG_0015|r1|thr0.80_frac0.20,BEHHO,thr0.80_frac0.20,IMG_0015,130026.jpg,1,20,400,1025604623,4.885545658632018,95,255,255,400,60.685761100030504,0.8,0.2,6,0.8003541666666667,0.7004166666666666,,,,,
BEHHO|IMG_0015|r1|thr0.80_frac0.30,BEHHO,thr0.80_frac0.30,IMG_0015,130026.jpg,1,20,400,1025604623,4.88547539422419,63,239,247,400,61.08757939998759,0.8,0.3,11,0.7364791666666666,0.5524999999999999,,,,,
HYBRID|IMG_0015|r1|balanced_80_20,HYBRID,balanced_80_20,IMG_0015,130026.jpg,1,20,400,1025604623,4.885476158971394,63,144,237,400,59.23176719999174,,,,,,0.8,0.2,98,102,0.49
HYBRID|IMG_0015|r1|balanced_70_30,HYBRID,balanced_70_30,IMG_0015,130026.jpg,1,20,400,1025604623,4.8848900660938135,32,140,242,400,60.36558789998526,,,,,,0.7,0.3,97,103,0.485
HYBRID|IMG_0015|r1|balanced_65_35,HYBRID,balanced_65_35,IMG_0015,130026.jpg,1,20,400,1025604623,4.885147936860264,58,139,255,400,63.3354947999469,,,,,,0.65,0.35,100,100,0.5
BEHHO|IMG_0015|r2|thr0.70_frac0.20,BEHHO,thr0.70_frac0.20,IMG_0015,130026.jpg,2,20,400,1455235506,4.885032019115998,2,50,112,400,62.922417900001165,0.7,0.2,0,0.8720208333333334,0.84625,,,,,
BEHHO|IMG_0015|r2|thr0.70_frac0.30,BEHHO,thr0.70_frac0.30,IMG_0015,130026.jpg,2,20,400,1455235506,4.885032019115998,2,50,112,400,60.01964919996681,0.7,0.3,0,0.8720208333333334,0.84625,,,,,
BEHHO|IMG_0015|r2|thr0.75_frac0.20,BEHHO,thr0.75_frac0.20,IMG_0015,130026.jpg,2,20,400,1455235506,4.885032019115998,2,50,112,400,61.3987058000057,0.75,0.2,0,0.8720208333333334,0.84625,,,,,
BEHHO|IMG_0015|r2|thr0.75_frac0.30,BEHHO,thr0.75_frac0.30,IMG_0015,130026.jpg,2,20,400,1455235506,4.885032019115998,2,50,112,400,58.33603020000737,0.75,0.3,0,0.8720208333333334,0.84625,,,,,
BEHHO|IMG_0015|r2|thr0.80_frac0.20,BEHHO,thr0.80_frac0.20,IMG_0015,130026.jpg,2,20,400,1455235506,4.885032019115998,2,50,112,400,59.737757300026715,0.8,0.2,1,0.8708333333333333,0.7920833333333333,,,,,
BEHHO|IMG_0015|r2|thr0.80_frac0.30,BEHHO,thr0.80_frac0.30,IMG_0015,130026.jpg,2,20,400,1455235506,4.885032019115998,2,50,112,400,62.38946750003379,0.8,0.3,1,0.8761666666666666,0.8395833333333332,,,,,
HYBRID|IMG_0015|r2|balanced_80_20,HYBRID,balanced_80_20,IMG_0015,130026.jpg,2,20,400,1455235506,4.884318178532983,224,8,104,400,59.605873900000006,,,,,,0.8,0.2,94,106,0.47
HYBRID|IMG_0015|r2|balanced_70_30,HYBRID,balanced_70_30,IMG_0015,130026.jpg,2,20,400,1455235506,4.884365123901637,11,8,104,400,61.16476890002377,,,,,,0.7,0.3,98,102,0.49
