oa_rank,title,year,doi,relevance_tier,metric,novelty_threat
39,Design and implementation of image data sharing through a visual cryptography system with one-time password authentication.,2026.0,10.1038/s41598-026-58613-9,CORE,PSNR,VERY_HIGH
39,Design and implementation of image data sharing through a visual cryptography system with one-time password authentication.,2026.0,10.1038/s41598-026-58613-9,CORE,MSE,VERY_HIGH
39,Design and implementation of image data sharing through a visual cryptography system with one-time password authentication.,2026.0,10.1038/s41598-026-58613-9,CORE,SSIM,VERY_HIGH
39,Design and implementation of image data sharing through a visual cryptography system with one-time password authentication.,2026.0,10.1038/s41598-026-58613-9,CORE,Entropy,VERY_HIGH
39,Design and implementation of image data sharing through a visual cryptography system with one-time password authentication.,2026.0,10.1038/s41598-026-58613-9,CORE,Correlation,VERY_HIGH
39,Design and implementation of image data sharing through a visual cryptography system with one-time password authentication.,2026.0,10.1038/s41598-026-58613-9,CORE,Execution time,VERY_HIGH
39,Design and implementation of image data sharing through a visual cryptography system with one-time password authentication.,2026.0,10.1038/s41598-026-58613-9,CORE,Pixel expansion,VERY_HIGH
39,Design and implementation of image data sharing through a visual cryptography system with one-time password authentication.,2026.0,10.1038/s41598-026-58613-9,CORE,Contrast,VERY_HIGH
39,Design and implementation of image data sharing through a visual cryptography system with one-time password authentication.,2026.0,10.1038/s41598-026-58613-9,CORE,Histogram,VERY_HIGH
39,Design and implementation of image data sharing through a visual cryptography system with one-time password authentication.,2026.0,10.1038/s41598-026-58613-9,CORE,BER,VERY_HIGH
16,A Narrative Study on Visual Cryptography Techniques for Robust and Secure Image Communication: A Review,2025.0,10.70389/pjs.100156,CORE,PSNR,HIGH
16,A Narrative Study on Visual Cryptography Techniques for Robust and Secure Image Communication: A Review,2025.0,10.70389/pjs.100156,CORE,MSE,HIGH
16,A Narrative Study on Visual Cryptography Techniques for Robust and Secure Image Communication: A Review,2025.0,10.70389/pjs.100156,CORE,SSIM,HIGH
16,A Narrative Study on Visual Cryptography Techniques for Robust and Secure Image Communication: A Review,2025.0,10.70389/pjs.100156,CORE,Entropy,HIGH
16,A Narrative Study on Visual Cryptography Techniques for Robust and Secure Image Communication: A Review,2025.0,10.70389/pjs.100156,CORE,Correlation,HIGH
16,A Narrative Study on Visual Cryptography Techniques for Robust and Secure Image Communication: A Review,2025.0,10.70389/pjs.100156,CORE,Pixel expansion,HIGH
16,A Narrative Study on Visual Cryptography Techniques for Robust and Secure Image Communication: A Review,2025.0,10.70389/pjs.100156,CORE,Contrast,HIGH
1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,2025.0,10.58346/jowua.2025.i1.009,CORE,PSNR,HIGH
1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,2025.0,10.58346/jowua.2025.i1.009,CORE,MSE,HIGH
1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,2025.0,10.58346/jowua.2025.i1.009,CORE,SSIM,HIGH
1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,2025.0,10.58346/jowua.2025.i1.009,CORE,NPCR,HIGH
