,old_f1_reconstruction,old_f4_complexity,S1_current_mean,S2_abs_cc_only,S3_nmse_cc_hist,S4_worst_share,R1_clean_vs_noisy_mse_mean,R2_clean_vs_noisy_mae_mean,R3_secret_vs_noisy_mse_mean,R4_abs_delta_secret_mse_mean
old_f1_reconstruction,1.0,-0.5705071637331443,-0.9269938864123455,0.10307454064029872,-0.5926226170990975,-0.9239346062229962,-0.3101161154314205,-0.3101161154314205,0.9993777421425523,0.9560320339016655
old_f4_complexity,-0.5705071637331443,1.0,0.4450470038215699,0.016509614150184523,0.24016344857130564,0.45943148736969036,0.19823230277126838,0.19823230277126838,-0.5640191853625744,-0.6056997647944243
S1_current_mean,-0.9269938864123455,0.4450470038215699,1.0,-0.04100801123086526,0.651002657264501,0.9905538260688758,0.16756217302379103,0.16756217302379103,-0.9312419921111929,-0.8132959708814493
S2_abs_cc_only,0.10307454064029872,0.016509614150184523,-0.04100801123086526,1.0,0.018255021143657246,-0.049341112970154116,0.035881393571131466,0.035881393571131466,0.1043029757276597,0.06138164967046231
S3_nmse_cc_hist,-0.5926226170990975,0.24016344857130564,0.651002657264501,0.018255021143657246,1.0,0.6426187304092696,0.0944156814009165,0.0944156814009165,-0.5965879448551151,-0.47300517931826364
S4_worst_share,-0.9239346062229962,0.45943148736969036,0.9905538260688758,-0.049341112970154116,0.6426187304092696,1.0,0.20603629108192098,0.20603629108192098,-0.9284410137287873,-0.8092014384045986
R1_clean_vs_noisy_mse_mean,-0.3101161154314205,0.19823230277126838,0.16756217302379103,0.035881393571131466,0.0944156814009165,0.20603629108192098,1.0,1.0,-0.3109396787523782,-0.3669526309448186
R2_clean_vs_noisy_mae_mean,-0.3101161154314205,0.19823230277126838,0.16756217302379103,0.035881393571131466,0.0944156814009165,0.20603629108192098,1.0,1.0,-0.3109396787523782,-0.3669526309448186
R3_secret_vs_noisy_mse_mean,0.9993777421425523,-0.5640191853625744,-0.9312419921111929,0.1043029757276597,-0.5965879448551151,-0.9284410137287873,-0.3109396787523782,-0.3109396787523782,1.0,0.9526517008621821
R4_abs_delta_secret_mse_mean,0.9560320339016655,-0.6056997647944243,-0.8132959708814493,0.06138164967046231,-0.47300517931826364,-0.8092014384045986,-0.3669526309448186,-0.3669526309448186,0.9526517008621821,1.0
