run_key,experiment_id,filename,run_index,algorithm,population_size,evaluation_budget,master_seed,best_score,level_R,level_G,level_B,evaluations,budget_compliant,runtime_s,iterations_completed,convergence_points,final_convergence_value,diversity_mean,diversity_final,injection_count,bda_proposals,ehho_proposals,bda_fraction,paired_rank
IMG_0005|r1|n10|b300|HHO-VC,IMG_0005,105025.jpg,1,HHO-VC,10,300,987927628,4.616553503459254,3,97,3,300,True,17.91927889996441,15,15,4.616553503459254,,,0,0,0,,4.0
IMG_0005|r1|n10|b300|EHHO-VC,IMG_0005,105025.jpg,1,EHHO-VC,10,300,987927628,4.616455983866084,3,51,3,300,True,15.644044099957682,18,18,4.616455983866084,0.1360018576594633,0.1133931846514996,0,0,0,,3.0
IMG_0005|r1|n10|b300|BEHHO-VC-Calibrated,IMG_0005,105025.jpg,1,BEHHO-VC-Calibrated,10,300,987927628,4.616025164521226,2,2,128,300,True,15.868149199988691,30,30,4.616025164521226,0.702611111111111,0.3566666666666667,10,0,0,,1.0
IMG_0005|r1|n10|b300|BDA-EHHO-VC-Calibrated,IMG_0005,105025.jpg,1,BDA-EHHO-VC-Calibrated,10,300,987927628,4.616414775537172,2,170,180,300,True,17.99288820003858,15,15,4.616414775537172,,,0,73,77,0.4866666666666667,2.0
IMG_0005|r1|n10|b600|HHO-VC,IMG_0005,105025.jpg,1,HHO-VC,10,600,987927628,4.616517224814976,3,66,3,600,True,86.25007169996388,30,30,4.616517224814976,,,0,0,0,,3.0
IMG_0005|r1|n10|b600|EHHO-VC,IMG_0005,105025.jpg,1,EHHO-VC,10,600,987927628,4.6163170194634455,3,60,3,600,True,92.54429869999876,37,37,4.6163170194634455,0.1219438039744195,0.0946351296230924,0,0,0,,2.0
IMG_0005|r1|n10|b600|BEHHO-VC-Calibrated,IMG_0005,105025.jpg,1,BEHHO-VC-Calibrated,10,600,987927628,4.614739288874254,2,2,6,600,True,99.67281540000111,60,60,4.614739288874254,0.7339166666666667,0.7916666666666666,21,0,0,,1.0
IMG_0005|r1|n10|b600|BDA-EHHO-VC-Calibrated,IMG_0005,105025.jpg,1,BDA-EHHO-VC-Calibrated,10,600,987927628,4.616878310324687,2,46,57,600,True,89.22910970001249,30,30,4.616878310324687,,,0,135,165,0.45,4.0
IMG_0005|r1|n20|b300|HHO-VC,IMG_0005,105025.jpg,1,HHO-VC,20,300,987927628,4.614739288874254,2,2,6,300,True,34.55072370002745,8,8,4.614739288874254,,,0,0,0,,2.0
IMG_0005|r1|n20|b300|EHHO-VC,IMG_0005,105025.jpg,1,EHHO-VC,20,300,987927628,4.614739288874254,2,2,6,300,True,35.32783700001892,9,9,4.614739288874254,0.1275736098513676,0.1567970101772635,4,0,0,,2.0
