experiment_id,run_index,archive_file,archive_row,bits,level_R,level_G,level_B,old_f1_reconstruction,old_f2_security,old_f3_robustness,old_f4_complexity,B1_central_5pct,B1_central_10pct,B1_central_20pct,B2_random_block_5pct,B2_random_block_10pct,B2_random_block_20pct,B3_dropout_5pct,B3_dropout_10pct,B3_dropout_20pct,B4_crop_5pct,B4_crop_10pct,B4_crop_20pct,B1_central_mean,B1_central_max,B2_random_block_mean,B2_random_block_max,B3_dropout_mean,B3_dropout_max,B4_crop_mean,B4_crop_max
IMG_0005,1,IMG_0005_r1_archive.csv,0,000000000001000000000000,2,16,2,0.5325097814330209,0.3278386216354951,0.0,0.0261437908496732,0.024952342709352055,0.04994354527064807,0.09995185696120275,0.025204931746987822,0.04996297519662006,0.09974244553683806,0.025373324438744998,0.05027817177349887,0.10154295201024173,0.024423416946781434,0.049386554059451256,0.09989140830262325,0.05828258164706762,0.09995185696120275,0.05830345082681532,0.09974244553683806,0.05906481607416186,0.10154295201024173,0.05790045976961864,0.09989140830262325
IMG_0005,1,IMG_0005_r1_archive.csv,1,000010010010000100010001,9,33,17,0.5079352174411946,0.3278656932793489,0.0,0.0771241830065359,0.02498688479996891,0.05000615280989113,0.10005548323305333,0.02522867943428691,0.049900367657377,0.10018501607286655,0.025237314956941124,0.05037100364203168,0.10127309192729754,0.024419099185454325,0.049613236529124374,0.10023035256680117,0.05834950694763779,0.10005548323305333,0.05843802105484349,0.10018501607286655,0.05896047017542345,0.10127309192729754,0.058087562760459954,0.10023035256680117
IMG_0005,1,IMG_0005_r1_archive.csv,2,000000110001000100010000,3,17,16,0.5109955535416626,0.3275916531915527,0.0,0.0470588235294117,0.025058127861866182,0.04998024624192848,0.10006411875570755,0.0251919784630065,0.050029900497190215,0.09974244553683806,0.025334464586801032,0.050465994391228036,0.10121696103004514,0.02446443567938895,0.04942109615006811,0.09990867934793168,0.05836749761983406,0.10006411875570755,0.05832144149901159,0.09974244553683806,0.05900580666935806,0.10121696103004514,0.05793140372579625,0.09990867934793168
IMG_0005,1,IMG_0005_r1_archive.csv,3,000000100001000100000001,2,17,2,0.5323204518319266,0.327849735746786,0.0,0.0274509803921568,0.02498472591930536,0.050001835048564015,0.10008354868167953,0.025086193310492378,0.049900367657377,0.09972301561086608,0.025362530035427232,0.0503235082674335,0.10143069021573695,0.024436370230762755,0.049330423162198864,0.09983959516669796,0.058356703216516294,0.10008354868167953,0.05823652552624515,0.09972301561086608,0.05903890950619922,0.10143069021573695,0.0578687961865532,0.09983959516669796
IMG_0005,1,IMG_0005_r1_archive.csv,4,000010110000100000001001,11,8,9,0.4982063783555661,0.3278694654603322,0.0,0.0366013071895424,0.024982567038641806,0.050055807065152856,0.10035772652595082,0.025211408388978482,0.04997161071927427,0.10018069831153943,0.02514880084973543,0.05049837760118134,0.10126229752397978,0.024438529111426306,0.04959596548381595,0.10015910950490389,0.058465366876581826,0.10035772652595082,0.058454572473264056,0.10018069831153943,0.05896982532496551,0.10126229752397978,0.058064534700048714,0.10015910950490389
IMG_0005,1,IMG_0005_r1_archive.csv,5,000010110001001101010000,11,19,80,0.5095153148981475,0.3278111897831364,0.0,0.1437908496732026,0.024978249277314696,0.05004501266183509,0.10025410025410025,0.025364688916090786,0.04987230220875081,0.10026705353808157,0.02514232420774477,0.050427134539284074,0.10130331625658728,0.024308996271613093,0.049408142866086795,0.10002525890376357,0.058425787397750006,0.10025410025410025,0.05850134822097439,0.10026705353808157,0.058957591667872046,0.10130331625658728,0.05791413268048782,0.10002525890376357
IMG_0005,1,IMG_0005_r1_archive.csv,6,000010110000010111010110,11,5,214,0.5057170733868769,0.32778620591989,0.0,0.3006535947712418,0.025079716668501718,0.05015295669501277,0.10035988540661438,0.02523947383760468,0.04992411534467609,0.1003080722706891,0.025200613985660713,0.0505329196917982,0.10104640945762441,0.024382398214173914,0.049423255030731666,0.10017853943087589,0.058530852923376286,0.10035988540661438,0.05849055381765663,0.1003080722706891,0.058926647711694445,0.10104640945762441,0.05799473089192716,0.10017853943087589
IMG_0005,2,IMG_0005_r2_archive.csv,0,000111000100001100000110,28,67,6,0.5171110190304102,0.3277235786606166,0.0,0.1320261437908496,0.02495450159001561,0.05012705012705013,0.09987413725731484,0.02516175413371675,0.04974061048827404,0.09987629613797838,0.02456158530924886,0.049373600775469935,0.10019365159552075,0.024643622774463896,0.04969311511367586,0.10070962407411006,0.05831856299146019,0.09987413725731484,0.05825955358665639,0.09987629613797838,0.05804294589341319,0.10019365159552075,0.05834878732074994,0.10070962407411006
IMG_0005,2,IMG_0005_r2_archive.csv,1,000000000000011100000001,2,7,2,0.5294444164105366,0.3280216033908189,0.0,0.0143790849673202,0.024978249277314696,0.050107620201078146,0.09970790344622121,0.025213567269642037,0.05003853601984443,0.10024978249277314,0.024667370461762983,0.04983344235680684,0.10072041847742783,0.024775314494940665,0.049772993698227345,0.10093846542444673,0.058264590974871355,0.09970790344622121,0.058500628594086536,0.10024978249277314,0.05840707709866588,0.10072041847742783,0.05849559120587158,0.10093846542444673
IMG_0005,2,IMG_0005_r2_archive.csv,2,101010010000111000000110,169,14,6,0.5170956867445996,0.327614369320038,0.0,0.2470588235294117,0.024904847334753875,0.05016806885965764,0.09983527740537086,0.02513800644641766,0.049656414142395446,0.09995833360319342,0.024626351729155466,0.049393030701441916,0.10032750219666108,0.02475372568830513,0.0498075357888442,0.1007031474321194,0.05830273119992746,0.09983527740537086,0.05825091806400218,0.09995833360319342,0.05811562820908615,0.10032750219666108,0.05842146963642291,0.1007031474321194
IMG_0005,2,IMG_0005_r2_archive.csv,3,000010000010000010010000,8,32,144,0.5123913672519349,0.3277474936305419,0.0,0.2405228758169934,0.024982567038641806,0.04995433967396584,0.09949201537986585,0.0251919784630065,0.04989389101538635,0.09971869784953898,0.024773155614277106,0.04949018033130182,0.10047214720111916,0.02476020233029579,0.049742769368937595,0.10095789535041871,0.0581429740308245,0.09949201537986585,0.05826818910931061,0.09971869784953898,0.05824516104889937,0.10047214720111916,0.05848695568321736,0.10095789535041871
IMG_0005,2,IMG_0005_r2_archive.csv,4,000010010100101001010011,9,74,83,0.5138601003314431,0.327710877568479,0.0,0.2169934640522876,0.024965295993333376,0.04997161071927427,0.09977482874679136,0.02526322152490377,0.04993059198666675,0.09997128688717473,0.02480337994356686,0.049354170849497954,0.10044624063315652,0.024678164865080753,0.0495938066031524,0.10072041847742783,0.058237245153133,0.09977482874679136,0.05838836679958175,0.09997128688717473,0.058201263808740446,0.10044624063315652,0.05833079664855365,0.10072041847742783
IMG_0005,2,IMG_0005_r2_archive.csv,5,000010100000000000011010,10,2,26,0.5165109010031345,0.3279239891785194,0.0,0.049673202614379,0.024969613754660485,0.0499608163159565,0.0997597165821465,0.025051651219875522,0.04950961025727381,0.09986981949598772,0.024552949786594648,0.04943189055338588,0.10034261436130595,0.024613398445174146,0.04953767570590001,0.10069019414813807,0.0582300488842545,0.0997597165821465,0.05814369365771235,0.09986981949598772,0.058109151567095486,0.10034261436130595,0.05828042276640407,0.10069019414813807
IMG_0005,2,IMG_0005_r2_archive.csv,6,000010000100001000000010,8,66,2,0.5249963010223442,0.3277318229934529,0.0,0.0993464052287581,0.025122894281772785,0.05021772311491938,0.09980289419541756,0.02533014682547393,0.0502673773701811,0.10031023115135264,0.024783950017594876,0.04977731145955445,0.10075496056804467,0.02474509016565091,0.049699591755666524,0.10099891408302623,0.05838117053070324,0.09980289419541756,0.05863591844900256,0.10031023115135264,0.05843874068173133,0.10075496056804467,0.058481198668114555,0.10099891408302623
IMG_0005,2,IMG_0005_r2_archive.csv,7,000000010000101000000001,2,10,2,0.5286001416795109,0.327896203473439,0.0,0.0183006535947712,0.025049492339211964,0.05021124647292871,0.09978346426944558,0.025189819582342947,0.050042853781171535,0.10027784794139934,0.024697594791052737,0.04988309661206858,0.10080245594264285,0.024874623005464128,0.04990252653804055,0.1011392413261572,0.05834806769386208,0.09978346426944558,0.05850350710163794,0.10027784794139934,0.05846104911525472,0.10080245594264285,0.05863879695655396,0.1011392413261572
IMG_0005,2,IMG_0005_r2_archive.csv,8,100100000001011000000110,144,22,6,0.5171561015383844,0.3276929333455154,0.0,0.2248366013071895,0.02488757628944545,0.050079554752451946,0.0997683521048007,0.025250268240922445,0.04975356377225536,0.09996696912584763,0.024654417177781662,0.049416778388741006,0.10041601630386676,0.02472350135901538,0.049747087130264704,0.10064485765420345,0.05824516104889937,0.0997683521048007,0.058323600379675135,0.09996696912584763,0.05816240395679648,0.10041601630386676,0.05837181538116117,0.10064485765420345
IMG_0005,2,IMG_0005_r2_archive.csv,9,000101100000000000001000,22,2,8,0.5202631202583773,0.3278546554043164,0.0,0.0418300653594771,0.02488325852811834,0.04987014332808726,0.09968631463958567,0.024911323976744535,0.04925054457764738,0.09989140830262325,0.024516248815314234,0.04947506816665695,0.10016342726623101,0.02461771620650125,0.0495614233931991,0.10047430608178272,0.058146572165263755,0.09968631463958567,0.058017758952338384,0.09989140830262325,0.0580515814160674,0.10016342726623101,0.05821781522716102,0.10047430608178272
IMG_0005,2,IMG_0005_r2_archive.csv,10,000100010000111010011100,17,14,156,0.5127967965743515,0.3276493207777712,0.0,0.2444444444444444,0.024909165096080984,0.04993490974799386,0.09940781903398727,0.025066763384520394,0.04965857302305901,0.09952871635114625,0.024686800387734967,0.04928292778760068,0.1002800068220629,0.024680323745744307,0.04957869443850752,0.10067724086415676,0.0580839646260207,0.09940781903398727,0.05808468425290855,0.09952871635114625,0.058083244999132845,0.1002800068220629,0.05831208634946953,0.10067724086415676
IMG_0005,2,IMG_0005_r2_archive.csv,11,000101110000001100001000,23,3,8,0.5119257940540912,0.3279434636594824,0.0,0.0444444444444444,0.024917800618735195,0.04996729295794716,0.09966256695228658,0.025172548537034517,0.04953119906390934,0.09999071681314672,0.024578856354557286,0.0494772270473205,0.10028648346405357,0.024710548075034054,0.04963266645509636,0.10056282018898842,0.05818255350965631,0.09966256695228658,0.058231488138030196,0.09999071681314672,0.05811418895531045,0.10028648346405357,0.05830201157303961,0.10056282018898842
IMG_0005,2,IMG_0005_r2_archive.csv,12,000001110010000000001001,7,32,9,0.5058445489404108,0.3277655445165704,0.0,0.0627450980392156,0.02496745487399693,0.050090349155769716,0.09964529590697814,0.025131529804427,0.049749246010928255,0.0997877820307727,0.02458533299654795,0.049440526076040096,0.1002800068220629,0.024762361210959344,0.04980105914685354,0.10100323184435334,0.05823436664558159,0.09964529590697814,0.058222852615375985,0.0997877820307727,0.05810195529821698,0.1002800068220629,0.058522217400722075,0.10100323184435334
