algorithm,population_size,evaluation_budget,runs,median_runtime_s,mean_runtime_s,max_runtime_s,outlier_count
BDA-EHHO-VC,10,200,24,24.788044699991588,26.430369304166863,43.605987399991136,0
BDA-EHHO-VC,10,400,24,50.67241124997963,53.13343352499578,79.74312979998649,0
BDA-EHHO-VC,20,200,24,30.91364230000181,27.50163962500301,39.01458429999184,0
BDA-EHHO-VC,20,400,24,48.32003104999603,50.5303248208329,82.53089160000673,0
BEHHO-VC,10,200,24,24.908936699997867,25.528393041668703,42.94088579999516,0
BEHHO-VC,10,400,24,51.62433150001743,50.479037591669716,83.28529890000937,0
BEHHO-VC,20,200,24,28.349151650007116,27.64393259999997,40.49730720001389,0
BEHHO-VC,20,400,24,49.510017349995906,52.26540533749843,80.24664540000958,0
EHHO-VC,10,200,24,26.158167799992952,25.306042091666313,41.72650839999551,0
EHHO-VC,10,400,24,49.4706845000037,48.95697422916783,77.70823849999579,0
EHHO-VC,20,200,24,25.790382050006883,26.46666447916262,41.92112819998874,0
EHHO-VC,20,400,24,50.67642105001141,52.53867981250247,76.93517229999998,0
HHO-VC,10,200,24,23.749539599986747,25.499188866662735,40.76295839998056,0
HHO-VC,10,400,24,50.828590949997306,588.6555318249982,12982.751355099988,1
HHO-VC,20,200,24,23.960370899992995,25.902440608332352,43.04735490001622,0
HHO-VC,20,400,24,55.38290175002476,53.439872195833836,78.40284100000281,0
